,As,Ds,Gs,Opp Score,Opponent,Score,Team,Ts,url
110,9,7,9,15,John Brown,9,Wheaton (Illinois),22,/teams/events/match_report/?EventGameId=d6HeG7TqsBRI8fkiRBduWrpqHR4U%2fdztHxB21MtfSFc%3d
111,14,13,15,9,Wheaton (Illinois),15,John Brown,18,/teams/events/match_report/?EventGameId=d6HeG7TqsBRI8fkiRBduWrpqHR4U%2fdztHxB21MtfSFc%3d
112,8,10,9,15,Franciscan,9,Dartmouth,17,/teams/events/match_report/?EventGameId=3B3LHym4iN%2bAsRk4L12Grr8v0pPfBGDAH5Ut90Ykg5c%3d
113,15,10,13,9,Dartmouth,15,Franciscan,16,/teams/events/match_report/?EventGameId=3B3LHym4iN%2bAsRk4L12Grr8v0pPfBGDAH5Ut90Ykg5c%3d
114,0,0,0,0,Army,0,St John's,0,/teams/events/match_report/?EventGameId=zpgIs%2fa2te8L5fllBF%2bR24hTTBBSR%2fSHimvlNVEJYUo%3d
115,0,0,0,0,St John's,0,Army,0,/teams/events/match_report/?EventGameId=zpgIs%2fa2te8L5fllBF%2bR24hTTBBSR%2fSHimvlNVEJYUo%3d
116,14,11,14,8,Air Force,14,St John's,17,/teams/events/match_report/?EventGameId=jXBc2FPzl7HkPsngs7bx68fJnR%2b8OvdIViIfmnzhJF8%3d
117,7,6,7,14,St John's,8,Air Force,19,/teams/events/match_report/?EventGameId=jXBc2FPzl7HkPsngs7bx68fJnR%2b8OvdIViIfmnzhJF8%3d
118,12,8,13,12,North Carolina-Asheville,13,Army,18,/teams/events/match_report/?EventGameId=LhrZ4OA9E6yC8YTyMjRHGF5BlzXBTxwAt3Xt0x7Ml7Y%3d
119,12,6,12,13,Army,12,North Carolina-Asheville,20,/teams/events/match_report/?EventGameId=LhrZ4OA9E6yC8YTyMjRHGF5BlzXBTxwAt3Xt0x7Ml7Y%3d
120,9,8,9,13,Colorado College,9,Portland,15,/teams/events/match_report/?EventGameId=xLGYO1AHOVH881vsIk5JRqJDOvJ4wYbsif0Ch9wVLWc%3d
121,13,7,13,9,Portland,13,Colorado College,14,/teams/events/match_report/?EventGameId=xLGYO1AHOVH881vsIk5JRqJDOvJ4wYbsif0Ch9wVLWc%3d
122,12,8,11,10,Occidental,12,Portland,14,/teams/events/match_report/?EventGameId=bkM6SvvG%2fCBCPs6c4y4BJOYiIUNo8TyaZHNIkx6%2fC6M%3d
123,10,7,8,12,Portland,10,Occidental,16,/teams/events/match_report/?EventGameId=bkM6SvvG%2fCBCPs6c4y4BJOYiIUNo8TyaZHNIkx6%2fC6M%3d
124,11,6,11,9,Amherst,12,Colorado College,10,/teams/events/match_report/?EventGameId=80x55tPTDnLjZgcb02Wo9vp4Qt7j5yTT5zS%2fxkU3Gc0%3d
125,9,4,8,12,Colorado College,9,Amherst,9,/teams/events/match_report/?EventGameId=80x55tPTDnLjZgcb02Wo9vp4Qt7j5yTT5zS%2fxkU3Gc0%3d
126,0,0,0,10,Occidental,9,Amherst,0,/teams/events/match_report/?EventGameId=2Ry1nbExrVAY%2bqYJOrjzKvo6pHz7gA1K5n557IGVkFc%3d
127,0,0,0,9,Amherst,10,Occidental,0,/teams/events/match_report/?EventGameId=2Ry1nbExrVAY%2bqYJOrjzKvo6pHz7gA1K5n557IGVkFc%3d
128,13,8,13,10,Army,13,Air Force,13,/teams/events/match_report/?EventGameId=srj%2bWiBRpfTEPM6zH0cWPlD84Z1%2fWnWq3xRDcIL6jfI%3d
129,9,13,9,13,Air Force,10,Army,15,/teams/events/match_report/?EventGameId=srj%2bWiBRpfTEPM6zH0cWPlD84Z1%2fWnWq3xRDcIL6jfI%3d
130,0,0,0,12,North Carolina-Asheville,13,St John's,0,/teams/events/match_report/?EventGameId=YACzYZqmC4o%2bKuasxuiYMosKJGtERHO5yWCJfBwuMCM%3d
131,0,0,0,13,St John's,12,North Carolina-Asheville,0,/teams/events/match_report/?EventGameId=YACzYZqmC4o%2bKuasxuiYMosKJGtERHO5yWCJfBwuMCM%3d
