,No.,Name,UpperName,Gs,Goals,As,Assists,Ds,Ts,Turns,url,Team,Seed,Score,Opp Score
0,5,Kelsey Fink,KELSEY FINK,0,0,5,5,0,0,0,/teams/events/match_report/?EventGameId=rVVzIL3AsYMErKuPFBAwKWVM9v4Vfg7%2fCltEg1Qn568%3d,Notre Dame,8,10,15
1,7,Amity Wipson,AMITY WIPSON,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=rVVzIL3AsYMErKuPFBAwKWVM9v4Vfg7%2fCltEg1Qn568%3d,Notre Dame,8,10,15
2,8,Julia Butterfield,JULIA BUTTERFIELD,4,4,2,2,0,0,0,/teams/events/match_report/?EventGameId=rVVzIL3AsYMErKuPFBAwKWVM9v4Vfg7%2fCltEg1Qn568%3d,Notre Dame,8,10,15
3,10,Courtney Shreve,COURTNEY SHREVE,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=rVVzIL3AsYMErKuPFBAwKWVM9v4Vfg7%2fCltEg1Qn568%3d,Notre Dame,8,10,15
4,11,Mara Jurkovic,MARA JURKOVIC,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=rVVzIL3AsYMErKuPFBAwKWVM9v4Vfg7%2fCltEg1Qn568%3d,Notre Dame,8,10,15
5,15,MK Andersen,MK ANDERSEN,3,3,0,0,0,0,0,/teams/events/match_report/?EventGameId=rVVzIL3AsYMErKuPFBAwKWVM9v4Vfg7%2fCltEg1Qn568%3d,Notre Dame,8,10,15
6,19,Nicole Vujosevich,NICOLE VUJOSEVICH,0,0,1,1,0,0,0,/teams/events/match_report/?EventGameId=rVVzIL3AsYMErKuPFBAwKWVM9v4Vfg7%2fCltEg1Qn568%3d,Notre Dame,8,10,15
7,21,Brianna Bocker,BRIANNA BOCKER,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=rVVzIL3AsYMErKuPFBAwKWVM9v4Vfg7%2fCltEg1Qn568%3d,Notre Dame,8,10,15
8,22,Elaine Rose,ELAINE ROSE,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=rVVzIL3AsYMErKuPFBAwKWVM9v4Vfg7%2fCltEg1Qn568%3d,Notre Dame,8,10,15
9,24,Heather Fredrickson,HEATHER FREDRICKSON,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=rVVzIL3AsYMErKuPFBAwKWVM9v4Vfg7%2fCltEg1Qn568%3d,Notre Dame,8,10,15
10,28,Dina Vu,DINA VU,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=rVVzIL3AsYMErKuPFBAwKWVM9v4Vfg7%2fCltEg1Qn568%3d,Notre Dame,8,10,15
11,33,Rachel Francis,RACHEL FRANCIS,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=rVVzIL3AsYMErKuPFBAwKWVM9v4Vfg7%2fCltEg1Qn568%3d,Notre Dame,8,10,15
12,37,Mary Hermann,MARY HERMANN,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=rVVzIL3AsYMErKuPFBAwKWVM9v4Vfg7%2fCltEg1Qn568%3d,Notre Dame,8,10,15
13,42,Marissa Ray,MARISSA RAY,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=rVVzIL3AsYMErKuPFBAwKWVM9v4Vfg7%2fCltEg1Qn568%3d,Notre Dame,8,10,15
14,46,Amalia Carmona,AMALIA CARMONA,0,0,1,1,0,0,0,/teams/events/match_report/?EventGameId=rVVzIL3AsYMErKuPFBAwKWVM9v4Vfg7%2fCltEg1Qn568%3d,Notre Dame,8,10,15
15,84,Sarah Lipscomb,SARAH LIPSCOMB,2,2,1,1,0,0,0,/teams/events/match_report/?EventGameId=rVVzIL3AsYMErKuPFBAwKWVM9v4Vfg7%2fCltEg1Qn568%3d,Notre Dame,8,10,15
16,92,Kristen Collins,KRISTEN COLLINS,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=rVVzIL3AsYMErKuPFBAwKWVM9v4Vfg7%2fCltEg1Qn568%3d,Notre Dame,8,10,15
0,0,Lisa Fitton,LISA FITTON,1,1,1,1,0,0,0,/teams/events/match_report/?EventGameId=sOf4I9XK2Qj05HVt50QedN32VlRrYFta9vOBXTGaPds%3d,Florida State,12,14,13
1,3,Dana Schwarz,DANA SCHWARZ,1,1,0,0,0,0,0,/teams/events/match_report/?EventGameId=sOf4I9XK2Qj05HVt50QedN32VlRrYFta9vOBXTGaPds%3d,Florida State,12,14,13
2,4,Zoe Stapleton,ZOE STAPLETON,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=sOf4I9XK2Qj05HVt50QedN32VlRrYFta9vOBXTGaPds%3d,Florida State,12,14,13
3,5,Katie Dooley,KATIE DOOLEY,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=sOf4I9XK2Qj05HVt50QedN32VlRrYFta9vOBXTGaPds%3d,Florida State,12,14,13
4,9,Julia Gregory,JULIA GREGORY,2,2,0,0,0,0,0,/teams/events/match_report/?EventGameId=sOf4I9XK2Qj05HVt50QedN32VlRrYFta9vOBXTGaPds%3d,Florida State,12,14,13
5,11,Danielle Cram,DANIELLE CRAM,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=sOf4I9XK2Qj05HVt50QedN32VlRrYFta9vOBXTGaPds%3d,Florida State,12,14,13
6,12,Larissa Ferreira,LARISSA FERREIRA,5,5,0,0,0,0,0,/teams/events/match_report/?EventGameId=sOf4I9XK2Qj05HVt50QedN32VlRrYFta9vOBXTGaPds%3d,Florida State,12,14,13
7,17,Carolina Gonzalez-Llanos,CAROLINA GONZALEZ-LLANOS,1,1,0,0,0,0,0,/teams/events/match_report/?EventGameId=sOf4I9XK2Qj05HVt50QedN32VlRrYFta9vOBXTGaPds%3d,Florida State,12,14,13
8,32,Connie Barroso,CONNIE BARROSO,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=sOf4I9XK2Qj05HVt50QedN32VlRrYFta9vOBXTGaPds%3d,Florida State,12,14,13
9,33,Kristin Lloyd,KRISTIN LLOYD,0,0,2,2,0,0,0,/teams/events/match_report/?EventGameId=sOf4I9XK2Qj05HVt50QedN32VlRrYFta9vOBXTGaPds%3d,Florida State,12,14,13
10,38,Rebecca Williams,REBECCA WILLIAMS,1,1,0,0,0,0,0,/teams/events/match_report/?EventGameId=sOf4I9XK2Qj05HVt50QedN32VlRrYFta9vOBXTGaPds%3d,Florida State,12,14,13
11,42,Alleigh Grover,ALLEIGH GROVER,0,0,4,4,0,0,0,/teams/events/match_report/?EventGameId=sOf4I9XK2Qj05HVt50QedN32VlRrYFta9vOBXTGaPds%3d,Florida State,12,14,13
12,44,Gabby Sehres,GABBY SEHRES,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=sOf4I9XK2Qj05HVt50QedN32VlRrYFta9vOBXTGaPds%3d,Florida State,12,14,13
13,46,Sarah Kibler,SARAH KIBLER,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=sOf4I9XK2Qj05HVt50QedN32VlRrYFta9vOBXTGaPds%3d,Florida State,12,14,13
14,50,Gentry Maddox,GENTRY MADDOX,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=sOf4I9XK2Qj05HVt50QedN32VlRrYFta9vOBXTGaPds%3d,Florida State,12,14,13
15,52,Skylar Taggart,SKYLAR TAGGART,0,0,4,4,0,0,0,/teams/events/match_report/?EventGameId=sOf4I9XK2Qj05HVt50QedN32VlRrYFta9vOBXTGaPds%3d,Florida State,12,14,13
16,66,Hayley Plants,HAYLEY PLANTS,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=sOf4I9XK2Qj05HVt50QedN32VlRrYFta9vOBXTGaPds%3d,Florida State,12,14,13
17,76,Lauren Brunner,LAUREN BRUNNER,2,2,0,0,0,0,0,/teams/events/match_report/?EventGameId=sOf4I9XK2Qj05HVt50QedN32VlRrYFta9vOBXTGaPds%3d,Florida State,12,14,13
18,81,Kari Tomarelli,KARI TOMARELLI,1,1,3,3,0,0,0,/teams/events/match_report/?EventGameId=sOf4I9XK2Qj05HVt50QedN32VlRrYFta9vOBXTGaPds%3d,Florida State,12,14,13
19,85,Rachael Thompson,RACHAEL THOMPSON,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=sOf4I9XK2Qj05HVt50QedN32VlRrYFta9vOBXTGaPds%3d,Florida State,12,14,13
0,0,Nicole Feldman,NICOLE FELDMAN,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=sOf4I9XK2Qj05HVt50QedN32VlRrYFta9vOBXTGaPds%3d,Central Florida,13,13,14
1,4,Jesse Baldwin,JESSE BALDWIN,3,3,0,0,0,0,0,/teams/events/match_report/?EventGameId=sOf4I9XK2Qj05HVt50QedN32VlRrYFta9vOBXTGaPds%3d,Central Florida,13,13,14
2,6,Stephanie Williams,STEPHANIE WILLIAMS,0,0,4,4,0,0,0,/teams/events/match_report/?EventGameId=sOf4I9XK2Qj05HVt50QedN32VlRrYFta9vOBXTGaPds%3d,Central Florida,13,13,14
3,8,Shayna Brock,SHAYNA BROCK,4,4,5,5,0,0,0,/teams/events/match_report/?EventGameId=sOf4I9XK2Qj05HVt50QedN32VlRrYFta9vOBXTGaPds%3d,Central Florida,13,13,14
4,10,Mia Griner,MIA GRINER,1,1,0,0,0,0,0,/teams/events/match_report/?EventGameId=sOf4I9XK2Qj05HVt50QedN32VlRrYFta9vOBXTGaPds%3d,Central Florida,13,13,14
5,11,Janina Freystaetter,JANINA FREYSTAETTER,2,2,4,4,0,0,0,/teams/events/match_report/?EventGameId=sOf4I9XK2Qj05HVt50QedN32VlRrYFta9vOBXTGaPds%3d,Central Florida,13,13,14
6,17,Alyssa Alejandro,ALYSSA ALEJANDRO,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=sOf4I9XK2Qj05HVt50QedN32VlRrYFta9vOBXTGaPds%3d,Central Florida,13,13,14
7,18,Katherine Davidsen,KATHERINE DAVIDSEN,1,1,0,0,0,0,0,/teams/events/match_report/?EventGameId=sOf4I9XK2Qj05HVt50QedN32VlRrYFta9vOBXTGaPds%3d,Central Florida,13,13,14
8,20,Larissa Curran,LARISSA CURRAN,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=sOf4I9XK2Qj05HVt50QedN32VlRrYFta9vOBXTGaPds%3d,Central Florida,13,13,14
9,24,Mary Wheeler,MARY WHEELER,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=sOf4I9XK2Qj05HVt50QedN32VlRrYFta9vOBXTGaPds%3d,Central Florida,13,13,14
10,26,Shelby Spence,SHELBY SPENCE,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=sOf4I9XK2Qj05HVt50QedN32VlRrYFta9vOBXTGaPds%3d,Central Florida,13,13,14
11,28,Felicia Perez,FELICIA PEREZ,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=sOf4I9XK2Qj05HVt50QedN32VlRrYFta9vOBXTGaPds%3d,Central Florida,13,13,14
12,29,Alexa Wood,ALEXA WOOD,2,2,0,0,0,0,0,/teams/events/match_report/?EventGameId=sOf4I9XK2Qj05HVt50QedN32VlRrYFta9vOBXTGaPds%3d,Central Florida,13,13,14
13,33,Nicole Wellman,NICOLE WELLMAN,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=sOf4I9XK2Qj05HVt50QedN32VlRrYFta9vOBXTGaPds%3d,Central Florida,13,13,14
14,36,Chloe Baldino,CHLOE BALDINO,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=sOf4I9XK2Qj05HVt50QedN32VlRrYFta9vOBXTGaPds%3d,Central Florida,13,13,14
15,88,Emily Hayes,EMILY HAYES,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=sOf4I9XK2Qj05HVt50QedN32VlRrYFta9vOBXTGaPds%3d,Central Florida,13,13,14
0,5,Kelsey Fink,KELSEY FINK,0,0,4,4,0,0,0,/teams/events/match_report/?EventGameId=7xMSm0Hb%2bwldg20NuSacsrMYJ479MBxE%2fZTiW8TyJLc%3d,Notre Dame,8,11,9
1,7,Amity Wipson,AMITY WIPSON,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=7xMSm0Hb%2bwldg20NuSacsrMYJ479MBxE%2fZTiW8TyJLc%3d,Notre Dame,8,11,9
2,8,Julia Butterfield,JULIA BUTTERFIELD,3,3,3,3,0,0,0,/teams/events/match_report/?EventGameId=7xMSm0Hb%2bwldg20NuSacsrMYJ479MBxE%2fZTiW8TyJLc%3d,Notre Dame,8,11,9
3,10,Courtney Shreve,COURTNEY SHREVE,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=7xMSm0Hb%2bwldg20NuSacsrMYJ479MBxE%2fZTiW8TyJLc%3d,Notre Dame,8,11,9
4,11,Mara Jurkovic,MARA JURKOVIC,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=7xMSm0Hb%2bwldg20NuSacsrMYJ479MBxE%2fZTiW8TyJLc%3d,Notre Dame,8,11,9
5,15,MK Andersen,MK ANDERSEN,2,2,1,1,0,0,0,/teams/events/match_report/?EventGameId=7xMSm0Hb%2bwldg20NuSacsrMYJ479MBxE%2fZTiW8TyJLc%3d,Notre Dame,8,11,9
6,19,Nicole Vujosevich,NICOLE VUJOSEVICH,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=7xMSm0Hb%2bwldg20NuSacsrMYJ479MBxE%2fZTiW8TyJLc%3d,Notre Dame,8,11,9
7,21,Brianna Bocker,BRIANNA BOCKER,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=7xMSm0Hb%2bwldg20NuSacsrMYJ479MBxE%2fZTiW8TyJLc%3d,Notre Dame,8,11,9
8,22,Elaine Rose,ELAINE ROSE,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=7xMSm0Hb%2bwldg20NuSacsrMYJ479MBxE%2fZTiW8TyJLc%3d,Notre Dame,8,11,9
9,24,Heather Fredrickson,HEATHER FREDRICKSON,0,0,1,1,0,0,0,/teams/events/match_report/?EventGameId=7xMSm0Hb%2bwldg20NuSacsrMYJ479MBxE%2fZTiW8TyJLc%3d,Notre Dame,8,11,9
10,28,Dina Vu,DINA VU,1,1,0,0,0,0,0,/teams/events/match_report/?EventGameId=7xMSm0Hb%2bwldg20NuSacsrMYJ479MBxE%2fZTiW8TyJLc%3d,Notre Dame,8,11,9
11,33,Rachel Francis,RACHEL FRANCIS,1,1,0,0,0,0,0,/teams/events/match_report/?EventGameId=7xMSm0Hb%2bwldg20NuSacsrMYJ479MBxE%2fZTiW8TyJLc%3d,Notre Dame,8,11,9
12,37,Mary Hermann,MARY HERMANN,0,0,1,1,0,0,0,/teams/events/match_report/?EventGameId=7xMSm0Hb%2bwldg20NuSacsrMYJ479MBxE%2fZTiW8TyJLc%3d,Notre Dame,8,11,9
13,42,Marissa Ray,MARISSA RAY,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=7xMSm0Hb%2bwldg20NuSacsrMYJ479MBxE%2fZTiW8TyJLc%3d,Notre Dame,8,11,9
14,46,Amalia Carmona,AMALIA CARMONA,1,1,1,1,0,0,0,/teams/events/match_report/?EventGameId=7xMSm0Hb%2bwldg20NuSacsrMYJ479MBxE%2fZTiW8TyJLc%3d,Notre Dame,8,11,9
15,84,Sarah Lipscomb,SARAH LIPSCOMB,1,1,0,0,0,0,0,/teams/events/match_report/?EventGameId=7xMSm0Hb%2bwldg20NuSacsrMYJ479MBxE%2fZTiW8TyJLc%3d,Notre Dame,8,11,9
16,92,Kristen Collins,KRISTEN COLLINS,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=7xMSm0Hb%2bwldg20NuSacsrMYJ479MBxE%2fZTiW8TyJLc%3d,Notre Dame,8,11,9
0,0,Nicole Feldman,NICOLE FELDMAN,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=7xMSm0Hb%2bwldg20NuSacsrMYJ479MBxE%2fZTiW8TyJLc%3d,Central Florida,13,9,11
1,4,Jesse Baldwin,JESSE BALDWIN,2,2,0,0,0,0,0,/teams/events/match_report/?EventGameId=7xMSm0Hb%2bwldg20NuSacsrMYJ479MBxE%2fZTiW8TyJLc%3d,Central Florida,13,9,11
2,6,Stephanie Williams,STEPHANIE WILLIAMS,1,1,6,6,0,0,0,/teams/events/match_report/?EventGameId=7xMSm0Hb%2bwldg20NuSacsrMYJ479MBxE%2fZTiW8TyJLc%3d,Central Florida,13,9,11
3,8,Shayna Brock,SHAYNA BROCK,2,2,1,1,0,0,0,/teams/events/match_report/?EventGameId=7xMSm0Hb%2bwldg20NuSacsrMYJ479MBxE%2fZTiW8TyJLc%3d,Central Florida,13,9,11
4,10,Mia Griner,MIA GRINER,1,1,2,2,0,0,0,/teams/events/match_report/?EventGameId=7xMSm0Hb%2bwldg20NuSacsrMYJ479MBxE%2fZTiW8TyJLc%3d,Central Florida,13,9,11
5,11,Janina Freystaetter,JANINA FREYSTAETTER,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=7xMSm0Hb%2bwldg20NuSacsrMYJ479MBxE%2fZTiW8TyJLc%3d,Central Florida,13,9,11
6,17,Alyssa Alejandro,ALYSSA ALEJANDRO,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=7xMSm0Hb%2bwldg20NuSacsrMYJ479MBxE%2fZTiW8TyJLc%3d,Central Florida,13,9,11
7,18,Katherine Davidsen,KATHERINE DAVIDSEN,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=7xMSm0Hb%2bwldg20NuSacsrMYJ479MBxE%2fZTiW8TyJLc%3d,Central Florida,13,9,11
8,20,Larissa Curran,LARISSA CURRAN,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=7xMSm0Hb%2bwldg20NuSacsrMYJ479MBxE%2fZTiW8TyJLc%3d,Central Florida,13,9,11
9,24,Mary Wheeler,MARY WHEELER,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=7xMSm0Hb%2bwldg20NuSacsrMYJ479MBxE%2fZTiW8TyJLc%3d,Central Florida,13,9,11
10,26,Shelby Spence,SHELBY SPENCE,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=7xMSm0Hb%2bwldg20NuSacsrMYJ479MBxE%2fZTiW8TyJLc%3d,Central Florida,13,9,11
11,28,Felicia Perez,FELICIA PEREZ,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=7xMSm0Hb%2bwldg20NuSacsrMYJ479MBxE%2fZTiW8TyJLc%3d,Central Florida,13,9,11
12,29,Alexa Wood,ALEXA WOOD,3,3,0,0,0,0,0,/teams/events/match_report/?EventGameId=7xMSm0Hb%2bwldg20NuSacsrMYJ479MBxE%2fZTiW8TyJLc%3d,Central Florida,13,9,11
13,33,Nicole Wellman,NICOLE WELLMAN,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=7xMSm0Hb%2bwldg20NuSacsrMYJ479MBxE%2fZTiW8TyJLc%3d,Central Florida,13,9,11
14,36,Chloe Baldino,CHLOE BALDINO,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=7xMSm0Hb%2bwldg20NuSacsrMYJ479MBxE%2fZTiW8TyJLc%3d,Central Florida,13,9,11
15,88,Emily Hayes,EMILY HAYES,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=7xMSm0Hb%2bwldg20NuSacsrMYJ479MBxE%2fZTiW8TyJLc%3d,Central Florida,13,9,11
0,0,Lisa Fitton,LISA FITTON,5,5,0,0,0,0,0,/teams/events/match_report/?EventGameId=wsgX%2bwB4lEtz%2fOnlaW%2f3hFs46rvpUKAyrGWllaQYQfc%3d,Florida State,12,10,14
1,3,Dana Schwarz,DANA SCHWARZ,1,1,1,1,0,0,0,/teams/events/match_report/?EventGameId=wsgX%2bwB4lEtz%2fOnlaW%2f3hFs46rvpUKAyrGWllaQYQfc%3d,Florida State,12,10,14
2,4,Zoe Stapleton,ZOE STAPLETON,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=wsgX%2bwB4lEtz%2fOnlaW%2f3hFs46rvpUKAyrGWllaQYQfc%3d,Florida State,12,10,14
3,5,Katie Dooley,KATIE DOOLEY,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=wsgX%2bwB4lEtz%2fOnlaW%2f3hFs46rvpUKAyrGWllaQYQfc%3d,Florida State,12,10,14
4,9,Julia Gregory,JULIA GREGORY,1,1,0,0,0,0,0,/teams/events/match_report/?EventGameId=wsgX%2bwB4lEtz%2fOnlaW%2f3hFs46rvpUKAyrGWllaQYQfc%3d,Florida State,12,10,14
5,11,Danielle Cram,DANIELLE CRAM,0,0,2,2,0,0,0,/teams/events/match_report/?EventGameId=wsgX%2bwB4lEtz%2fOnlaW%2f3hFs46rvpUKAyrGWllaQYQfc%3d,Florida State,12,10,14
6,12,Larissa Ferreira,LARISSA FERREIRA,2,2,1,1,0,0,0,/teams/events/match_report/?EventGameId=wsgX%2bwB4lEtz%2fOnlaW%2f3hFs46rvpUKAyrGWllaQYQfc%3d,Florida State,12,10,14
7,17,Carolina Gonzalez-Llanos,CAROLINA GONZALEZ-LLANOS,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=wsgX%2bwB4lEtz%2fOnlaW%2f3hFs46rvpUKAyrGWllaQYQfc%3d,Florida State,12,10,14
8,32,Connie Barroso,CONNIE BARROSO,1,1,0,0,0,0,0,/teams/events/match_report/?EventGameId=wsgX%2bwB4lEtz%2fOnlaW%2f3hFs46rvpUKAyrGWllaQYQfc%3d,Florida State,12,10,14
9,33,Kristin Lloyd,KRISTIN LLOYD,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=wsgX%2bwB4lEtz%2fOnlaW%2f3hFs46rvpUKAyrGWllaQYQfc%3d,Florida State,12,10,14
10,38,Rebecca Williams,REBECCA WILLIAMS,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=wsgX%2bwB4lEtz%2fOnlaW%2f3hFs46rvpUKAyrGWllaQYQfc%3d,Florida State,12,10,14
11,42,Alleigh Grover,ALLEIGH GROVER,0,0,1,1,0,0,0,/teams/events/match_report/?EventGameId=wsgX%2bwB4lEtz%2fOnlaW%2f3hFs46rvpUKAyrGWllaQYQfc%3d,Florida State,12,10,14
12,44,Gabby Sehres,GABBY SEHRES,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=wsgX%2bwB4lEtz%2fOnlaW%2f3hFs46rvpUKAyrGWllaQYQfc%3d,Florida State,12,10,14
13,46,Sarah Kibler,SARAH KIBLER,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=wsgX%2bwB4lEtz%2fOnlaW%2f3hFs46rvpUKAyrGWllaQYQfc%3d,Florida State,12,10,14
14,50,Gentry Maddox,GENTRY MADDOX,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=wsgX%2bwB4lEtz%2fOnlaW%2f3hFs46rvpUKAyrGWllaQYQfc%3d,Florida State,12,10,14
15,52,Skylar Taggart,SKYLAR TAGGART,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=wsgX%2bwB4lEtz%2fOnlaW%2f3hFs46rvpUKAyrGWllaQYQfc%3d,Florida State,12,10,14
