,As,Ds,Gs,Opp Score,Opponent,Score,Team,Ts,url
68,10,0,10,15,Virginia,10,Colorado,0,/teams/events/match_report/?EventGameId=okb4uZIwDsflQOTklrchMpSIUwUKPBTNIhzeWste6jg%3d
69,15,0,15,10,Colorado,15,Virginia,0,/teams/events/match_report/?EventGameId=okb4uZIwDsflQOTklrchMpSIUwUKPBTNIhzeWste6jg%3d
70,9,0,9,14,Whitman,9,Colorado,0,/teams/events/match_report/?EventGameId=CpDVNuOi3M%2bGr80aMAKOWTNQmb61X1O4tcuWcU%2fMwk0%3d
71,14,0,14,9,Colorado,14,Whitman,0,/teams/events/match_report/?EventGameId=CpDVNuOi3M%2bGr80aMAKOWTNQmb61X1O4tcuWcU%2fMwk0%3d
72,15,0,15,12,Princeton,15,Kansas,0,/teams/events/match_report/?EventGameId=WauRd93QPC%2fE2vlBwQxQ%2fYCzdeFZZsyoydpCY2zuW1s%3d
73,12,0,12,15,Kansas,12,Princeton,0,/teams/events/match_report/?EventGameId=WauRd93QPC%2fE2vlBwQxQ%2fYCzdeFZZsyoydpCY2zuW1s%3d
74,15,0,15,5,Princeton,15,Virginia,0,/teams/events/match_report/?EventGameId=jspQYDQa6ak7VUANCGIj5eLa%2bR9Umj1NKMkMxxZQQJo%3d
75,5,0,5,15,Virginia,5,Princeton,0,/teams/events/match_report/?EventGameId=jspQYDQa6ak7VUANCGIj5eLa%2bR9Umj1NKMkMxxZQQJo%3d
76,14,0,14,9,Kansas,14,Colorado,0,/teams/events/match_report/?EventGameId=z3NrsTsiz47X6hL7w4a2A92fsk%2fDqSGz3XvcTtq7dtY%3d
77,9,0,9,14,Colorado,9,Kansas,0,/teams/events/match_report/?EventGameId=z3NrsTsiz47X6hL7w4a2A92fsk%2fDqSGz3XvcTtq7dtY%3d
78,15,0,15,7,Whitman,15,Virginia,0,/teams/events/match_report/?EventGameId=R0j5EOd9C4HySX6TLAVx30%2fjREVPK8yWVwGMkVguuag%3d
79,7,0,7,15,Virginia,7,Whitman,0,/teams/events/match_report/?EventGameId=R0j5EOd9C4HySX6TLAVx30%2fjREVPK8yWVwGMkVguuag%3d
80,13,22,13,11,Stanford,13,Oregon,54,/teams/events/match_report/?EventGameId=bAlkUj0kb59rG0nvqNqYVPnrxjif1u1zYOUTJXX%2fHHs%3d
81,11,25,11,13,Oregon,11,Stanford,52,/teams/events/match_report/?EventGameId=bAlkUj0kb59rG0nvqNqYVPnrxjif1u1zYOUTJXX%2fHHs%3d
82,15,10,15,9,British Columbia,15,Oregon,13,/teams/events/match_report/?EventGameId=8KFtJC6wB7vVeP85TUpgKIo2tDq0iPK6pzXtuIa%2bONw%3d
83,9,10,9,15,Oregon,9,British Columbia,19,/teams/events/match_report/?EventGameId=8KFtJC6wB7vVeP85TUpgKIo2tDq0iPK6pzXtuIa%2bONw%3d
84,8,4,8,15,Stanford,8,Carleton College,21,/teams/events/match_report/?EventGameId=veiaAFRwUIkVATX0GAFZc9JL3xQyppLU5EL1LwShdEM%3d
85,15,11,15,8,Carleton College,15,Stanford,20,/teams/events/match_report/?EventGameId=veiaAFRwUIkVATX0GAFZc9JL3xQyppLU5EL1LwShdEM%3d
86,6,6,6,15,Oregon,6,Dartmouth,18,/teams/events/match_report/?EventGameId=ozp8v12Q3npete%2bSYPL8x40U0GmcIRhzkIQOdxoyDdo%3d
87,15,5,15,6,Dartmouth,15,Oregon,8,/teams/events/match_report/?EventGameId=ozp8v12Q3npete%2bSYPL8x40U0GmcIRhzkIQOdxoyDdo%3d
88,15,13,15,9,Virginia,15,British Columbia,17,/teams/events/match_report/?EventGameId=%2feY8PxsOgiq7hjsZ8DjSe2Y39H25hfmLoCH4WukPUcE%3d
89,9,5,9,15,British Columbia,9,Virginia,21,/teams/events/match_report/?EventGameId=%2feY8PxsOgiq7hjsZ8DjSe2Y39H25hfmLoCH4WukPUcE%3d
90,10,5,10,15,Carleton College,10,Whitman,17,/teams/events/match_report/?EventGameId=qb0RiM%2f4mpfq%2fglpDwDokcw8rtEIJYHB14OMMhwfgWg%3d
91,15,5,15,10,Whitman,15,Carleton College,12,/teams/events/match_report/?EventGameId=qb0RiM%2f4mpfq%2fglpDwDokcw8rtEIJYHB14OMMhwfgWg%3d
92,7,5,7,15,Stanford,7,Colorado,23,/teams/events/match_report/?EventGameId=WruOhG7rZ4lfZn1jzPgKG4DFj%2bhiuiNmE%2fbRLyGv868%3d
93,15,7,15,7,Colorado,15,Stanford,16,/teams/events/match_report/?EventGameId=WruOhG7rZ4lfZn1jzPgKG4DFj%2bhiuiNmE%2fbRLyGv868%3d
94,15,0,15,9,Texas,15,Dartmouth,0,/teams/events/match_report/?EventGameId=kCeh3nwQNBsbZgicTrKyAuzJjh2GB7huXtm3pwwOhuM%3d
95,9,0,9,15,Dartmouth,9,Texas,0,/teams/events/match_report/?EventGameId=kCeh3nwQNBsbZgicTrKyAuzJjh2GB7huXtm3pwwOhuM%3d
96,15,0,15,8,Ohio State,15,British Columbia,0,/teams/events/match_report/?EventGameId=BJIQTERBEGZ4IPT%2fzQyvFDVGtq72RaAm74iV%2b%2bSR39M%3d
97,8,0,8,15,British Columbia,8,Ohio State,0,/teams/events/match_report/?EventGameId=BJIQTERBEGZ4IPT%2fzQyvFDVGtq72RaAm74iV%2b%2bSR39M%3d
98,15,0,15,9,Florida State,15,Whitman,0,/teams/events/match_report/?EventGameId=6%2b7kTvmX1rh0dLPtqGuXPHhuOsU5Rntl14nuDOfpBxQ%3d
99,9,0,9,15,Whitman,9,Florida State,0,/teams/events/match_report/?EventGameId=6%2b7kTvmX1rh0dLPtqGuXPHhuOsU5Rntl14nuDOfpBxQ%3d
100,10,0,10,15,Colorado,10,Victoria,0,/teams/events/match_report/?EventGameId=m0Wv%2fgybmj89xPnt9NfIKrv5DwhMSD5FdmA1jreS9wU%3d
101,15,0,15,10,Victoria,15,Colorado,0,/teams/events/match_report/?EventGameId=m0Wv%2fgybmj89xPnt9NfIKrv5DwhMSD5FdmA1jreS9wU%3d
102,13,7,13,15,Princeton,13,Notre Dame,26,/teams/events/match_report/?EventGameId=v3MCeVOAphgFKH23If5ItBUsXnLYf5HFFCOkDKtkdK8%3d
103,15,9,15,13,Notre Dame,15,Princeton,22,/teams/events/match_report/?EventGameId=v3MCeVOAphgFKH23If5ItBUsXnLYf5HFFCOkDKtkdK8%3d
104,7,0,8,15,UCLA,8,Middlebury,0,/teams/events/match_report/?EventGameId=ah2WDYtg%2b0QRK1Ew1B6rHTMAuqWL8UP9xEuL6KV68c0%3d
105,15,0,15,8,Middlebury,15,UCLA,0,/teams/events/match_report/?EventGameId=ah2WDYtg%2b0QRK1Ew1B6rHTMAuqWL8UP9xEuL6KV68c0%3d
106,13,0,13,15,Central Florida,13,Kansas,0,/teams/events/match_report/?EventGameId=kI%2fw5qRj5pXmAAAQ6O0yIS4lGRBWVijq8ABIxtvHGYY%3d
107,15,0,15,13,Kansas,15,Central Florida,0,/teams/events/match_report/?EventGameId=kI%2fw5qRj5pXmAAAQ6O0yIS4lGRBWVijq8ABIxtvHGYY%3d
