,As,Ds,Gs,Opp Score,Opponent,Score,Team,Ts,url
59,13,6,13,15,Oregon,13,Delaware,32,/teams/events/match_report/?EventGameId=fSj0Tv2RB9Z%2fvVJC36njDAM8mue%2fv0g1zKdca4BOgtg%3d
60,10,5,10,15,Oregon,10,Dartmouth,19,/teams/events/match_report/?EventGameId=sObsmC9wrfLeU8gO2aGmZaD9TUSG3XPslRpi9FQ8UJM%3d
61,15,3,15,10,Dartmouth,15,Oregon,13,/teams/events/match_report/?EventGameId=sObsmC9wrfLeU8gO2aGmZaD9TUSG3XPslRpi9FQ8UJM%3d
62,10,5,10,15,Oregon,10,Dartmouth,19,/teams/events/match_report/?EventGameId=sObsmC9wrfLeU8gO2aGmZaD9TUSG3XPslRpi9FQ8UJM%3d
63,15,3,15,10,Dartmouth,15,Oregon,13,/teams/events/match_report/?EventGameId=sObsmC9wrfLeU8gO2aGmZaD9TUSG3XPslRpi9FQ8UJM%3d
64,15,11,15,7,Delaware,15,Notre Dame,33,/teams/events/match_report/?EventGameId=hIG36G8QPD%2bpE8dC0Q2%2foKYpRYEGBdsdqmBTBjTjll0%3d
65,7,15,7,15,Notre Dame,7,Delaware,39,/teams/events/match_report/?EventGameId=hIG36G8QPD%2bpE8dC0Q2%2foKYpRYEGBdsdqmBTBjTjll0%3d
66,15,11,15,7,Delaware,15,Notre Dame,33,/teams/events/match_report/?EventGameId=hIG36G8QPD%2bpE8dC0Q2%2foKYpRYEGBdsdqmBTBjTjll0%3d
67,7,15,7,15,Notre Dame,7,Delaware,39,/teams/events/match_report/?EventGameId=hIG36G8QPD%2bpE8dC0Q2%2foKYpRYEGBdsdqmBTBjTjll0%3d
68,13,9,13,9,Delaware,13,Florida,20,/teams/events/match_report/?EventGameId=cviHRmms6TUY6LX%2f%2ffoIwlfr42ZygDZUTfzPISYC%2brw%3d
69,9,7,9,13,Florida,9,Delaware,23,/teams/events/match_report/?EventGameId=cviHRmms6TUY6LX%2f%2ffoIwlfr42ZygDZUTfzPISYC%2brw%3d
70,13,9,13,9,Delaware,13,Florida,20,/teams/events/match_report/?EventGameId=cviHRmms6TUY6LX%2f%2ffoIwlfr42ZygDZUTfzPISYC%2brw%3d
71,9,7,9,13,Florida,9,Delaware,23,/teams/events/match_report/?EventGameId=cviHRmms6TUY6LX%2f%2ffoIwlfr42ZygDZUTfzPISYC%2brw%3d
72,8,3,8,15,Oregon,8,Notre Dame,20,/teams/events/match_report/?EventGameId=yjPhIFnvab86VWZx%2bYTEodyHMb7fgxqc0VzAZEoCtp0%3d
73,15,4,15,8,Notre Dame,15,Oregon,18,/teams/events/match_report/?EventGameId=yjPhIFnvab86VWZx%2bYTEodyHMb7fgxqc0VzAZEoCtp0%3d
74,8,3,8,15,Oregon,8,Notre Dame,20,/teams/events/match_report/?EventGameId=yjPhIFnvab86VWZx%2bYTEodyHMb7fgxqc0VzAZEoCtp0%3d
75,15,4,15,8,Notre Dame,15,Oregon,18,/teams/events/match_report/?EventGameId=yjPhIFnvab86VWZx%2bYTEodyHMb7fgxqc0VzAZEoCtp0%3d
76,15,13,15,2,Florida,15,Dartmouth,13,/teams/events/match_report/?EventGameId=8nMPNrOShh3TIxv3%2b3qRtqu9L2pxBLBWl6evbv8f8IA%3d
77,2,2,2,15,Dartmouth,2,Florida,29,/teams/events/match_report/?EventGameId=8nMPNrOShh3TIxv3%2b3qRtqu9L2pxBLBWl6evbv8f8IA%3d
78,15,13,15,2,Florida,15,Dartmouth,13,/teams/events/match_report/?EventGameId=8nMPNrOShh3TIxv3%2b3qRtqu9L2pxBLBWl6evbv8f8IA%3d
79,2,2,2,15,Dartmouth,2,Florida,29,/teams/events/match_report/?EventGameId=8nMPNrOShh3TIxv3%2b3qRtqu9L2pxBLBWl6evbv8f8IA%3d
80,13,7,13,11,Michigan,13,UCLA,23,/teams/events/match_report/?EventGameId=xzS1nuFrdg525SB5pSokpzx6Q58UUu7H%2bD0GskDZILg%3d
81,11,16,11,13,UCLA,11,Michigan,27,/teams/events/match_report/?EventGameId=xzS1nuFrdg525SB5pSokpzx6Q58UUu7H%2bD0GskDZILg%3d
82,13,7,13,11,Michigan,13,UCLA,23,/teams/events/match_report/?EventGameId=xzS1nuFrdg525SB5pSokpzx6Q58UUu7H%2bD0GskDZILg%3d
83,11,16,11,13,UCLA,11,Michigan,27,/teams/events/match_report/?EventGameId=xzS1nuFrdg525SB5pSokpzx6Q58UUu7H%2bD0GskDZILg%3d
84,11,5,11,8,California-San Diego,11,Tufts,34,/teams/events/match_report/?EventGameId=p7KRdKNNdv7tF8z7ngwdMtYJOshozx5Az9IIHSJXm70%3d
85,8,17,8,11,Tufts,8,California-San Diego,36,/teams/events/match_report/?EventGameId=p7KRdKNNdv7tF8z7ngwdMtYJOshozx5Az9IIHSJXm70%3d
86,11,5,11,8,California-San Diego,11,Tufts,34,/teams/events/match_report/?EventGameId=p7KRdKNNdv7tF8z7ngwdMtYJOshozx5Az9IIHSJXm70%3d
87,8,17,8,11,Tufts,8,California-San Diego,36,/teams/events/match_report/?EventGameId=p7KRdKNNdv7tF8z7ngwdMtYJOshozx5Az9IIHSJXm70%3d
88,10,5,10,12,UCLA,10,Virginia,19,/teams/events/match_report/?EventGameId=x0I13g5wb%2bEhatnj3UtaMOqh0UBL4%2b62kiCxhOx26LA%3d
89,12,3,12,10,Virginia,12,UCLA,17,/teams/events/match_report/?EventGameId=x0I13g5wb%2bEhatnj3UtaMOqh0UBL4%2b62kiCxhOx26LA%3d
90,10,5,10,12,UCLA,10,Virginia,19,/teams/events/match_report/?EventGameId=x0I13g5wb%2bEhatnj3UtaMOqh0UBL4%2b62kiCxhOx26LA%3d
91,12,3,12,10,Virginia,12,UCLA,17,/teams/events/match_report/?EventGameId=x0I13g5wb%2bEhatnj3UtaMOqh0UBL4%2b62kiCxhOx26LA%3d
92,9,8,9,15,Michigan,9,Tufts,27,/teams/events/match_report/?EventGameId=J80YzHqnQFWQN%2bj8CXgAdFKuML5OHpfNW%2f3NERQGqPY%3d
93,15,12,15,9,Tufts,15,Michigan,22,/teams/events/match_report/?EventGameId=J80YzHqnQFWQN%2bj8CXgAdFKuML5OHpfNW%2f3NERQGqPY%3d
94,9,8,9,15,Michigan,9,Tufts,27,/teams/events/match_report/?EventGameId=J80YzHqnQFWQN%2bj8CXgAdFKuML5OHpfNW%2f3NERQGqPY%3d
95,15,12,15,9,Tufts,15,Michigan,22,/teams/events/match_report/?EventGameId=J80YzHqnQFWQN%2bj8CXgAdFKuML5OHpfNW%2f3NERQGqPY%3d
96,14,13,14,9,California-San Diego,14,Virginia,30,/teams/events/match_report/?EventGameId=NyLO7b0JikNLW2K1i0ZlSJFABM0BT7%2fLS3sbk592Vmc%3d
97,9,8,9,14,Virginia,9,California-San Diego,31,/teams/events/match_report/?EventGameId=NyLO7b0JikNLW2K1i0ZlSJFABM0BT7%2fLS3sbk592Vmc%3d
98,14,13,14,9,California-San Diego,14,Virginia,30,/teams/events/match_report/?EventGameId=NyLO7b0JikNLW2K1i0ZlSJFABM0BT7%2fLS3sbk592Vmc%3d
99,9,8,9,14,Virginia,9,California-San Diego,31,/teams/events/match_report/?EventGameId=NyLO7b0JikNLW2K1i0ZlSJFABM0BT7%2fLS3sbk592Vmc%3d
100,14,13,14,10,California-San Diego,13,Michigan,27,/teams/events/match_report/?EventGameId=Wd4vkTcfvnedSI%2fRwarHls%2b%2b%2fo9MFahhv7w2KA%2bB%2f4I%3d
101,10,10,10,13,Michigan,10,California-San Diego,33,/teams/events/match_report/?EventGameId=Wd4vkTcfvnedSI%2fRwarHls%2b%2b%2fo9MFahhv7w2KA%2bB%2f4I%3d
102,14,13,14,10,California-San Diego,13,Michigan,27,/teams/events/match_report/?EventGameId=Wd4vkTcfvnedSI%2fRwarHls%2b%2b%2fo9MFahhv7w2KA%2bB%2f4I%3d
103,10,10,10,13,Michigan,10,California-San Diego,33,/teams/events/match_report/?EventGameId=Wd4vkTcfvnedSI%2fRwarHls%2b%2b%2fo9MFahhv7w2KA%2bB%2f4I%3d
104,12,13,12,10,Tufts,12,Virginia,24,/teams/events/match_report/?EventGameId=QgMsWDOue5ulLqlh1dDA3Td4hqXPYBUWHgV30PwXlW8%3d
105,10,5,10,12,Virginia,10,Tufts,27,/teams/events/match_report/?EventGameId=QgMsWDOue5ulLqlh1dDA3Td4hqXPYBUWHgV30PwXlW8%3d
106,12,13,12,10,Tufts,12,Virginia,24,/teams/events/match_report/?EventGameId=QgMsWDOue5ulLqlh1dDA3Td4hqXPYBUWHgV30PwXlW8%3d
107,10,5,10,12,Virginia,10,Tufts,27,/teams/events/match_report/?EventGameId=QgMsWDOue5ulLqlh1dDA3Td4hqXPYBUWHgV30PwXlW8%3d
108,15,9,15,12,California-San Diego,15,UCLA,24,/teams/events/match_report/?EventGameId=dsRVG3klJ2jxHuXFi01k5oOayV9JI2EToHHbirtUn%2bo%3d
109,12,8,12,15,UCLA,12,California-San Diego,26,/teams/events/match_report/?EventGameId=dsRVG3klJ2jxHuXFi01k5oOayV9JI2EToHHbirtUn%2bo%3d
110,15,9,15,12,California-San Diego,15,UCLA,24,/teams/events/match_report/?EventGameId=dsRVG3klJ2jxHuXFi01k5oOayV9JI2EToHHbirtUn%2bo%3d
111,12,8,12,15,UCLA,12,California-San Diego,26,/teams/events/match_report/?EventGameId=dsRVG3klJ2jxHuXFi01k5oOayV9JI2EToHHbirtUn%2bo%3d
112,13,10,13,12,Michigan,14,Virginia,26,/teams/events/match_report/?EventGameId=WtAZlGtXa3JRAQ1nn%2fwPrlLJ%2bXEC2E6dJ3p%2f%2foaOe4Q%3d
113,12,8,12,14,Virginia,12,Michigan,27,/teams/events/match_report/?EventGameId=WtAZlGtXa3JRAQ1nn%2fwPrlLJ%2bXEC2E6dJ3p%2f%2foaOe4Q%3d
