,No.,Name,UpperName,Gs,Goals,As,Assists,Ds,Ts,Turns,url,Team,Seed,Score,Opp Team,Opp Seed,Opp Score
19,40,Camille Barnes,CAMILLE BARNES,0,0,0,0,1,3,3,/teams/events/match_report/?EventGameId=Ds0bYJhlzT%2bULY65QIqVYZtx%2ftMSyCY51qkC45WmgDg%3d,Iris,12,3,Seattle Riot,1,15
20,41,Sophie Dagenais,SOPHIE DAGENAIS,1,1,0,0,1,1,1,/teams/events/match_report/?EventGameId=Ds0bYJhlzT%2bULY65QIqVYZtx%2ftMSyCY51qkC45WmgDg%3d,Iris,12,3,Seattle Riot,1,15
21,80,Marikha Nguyen,MARIKHA NGUYEN,0,0,0,0,0,1,1,/teams/events/match_report/?EventGameId=Ds0bYJhlzT%2bULY65QIqVYZtx%2ftMSyCY51qkC45WmgDg%3d,Iris,12,3,Seattle Riot,1,15
22,82,Isabelle Toutant,ISABELLE TOUTANT,0,0,1,1,2,1,1,/teams/events/match_report/?EventGameId=Ds0bYJhlzT%2bULY65QIqVYZtx%2ftMSyCY51qkC45WmgDg%3d,Iris,12,3,Seattle Riot,1,15
0,0,Mallory Meiser,MALLORY MEISER,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=iOw1VF%2b0%2bOS%2bjF7PiZposnjSu8cd9fwAJCCuTE3nRo0%3d,Nightlock,8,11,Heist,13,9
1,2,Marisa Rafter,MARISA RAFTER,0,0,0,0,1,6,6,/teams/events/match_report/?EventGameId=iOw1VF%2b0%2bOS%2bjF7PiZposnjSu8cd9fwAJCCuTE3nRo0%3d,Nightlock,8,11,Heist,13,9
2,3,Loryn Kanemaru,LORYN KANEMARU,1,1,0,0,2,7,7,/teams/events/match_report/?EventGameId=iOw1VF%2b0%2bOS%2bjF7PiZposnjSu8cd9fwAJCCuTE3nRo0%3d,Nightlock,8,11,Heist,13,9
3,5,Laurel Oldershaw,LAUREL OLDERSHAW,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=iOw1VF%2b0%2bOS%2bjF7PiZposnjSu8cd9fwAJCCuTE3nRo0%3d,Nightlock,8,11,Heist,13,9
4,7,Claire Sharman,CLAIRE SHARMAN,0,0,0,0,2,1,1,/teams/events/match_report/?EventGameId=iOw1VF%2b0%2bOS%2bjF7PiZposnjSu8cd9fwAJCCuTE3nRo0%3d,Nightlock,8,11,Heist,13,9
5,8,Rachel Habbert,RACHEL HABBERT,0,0,2,2,0,2,2,/teams/events/match_report/?EventGameId=iOw1VF%2b0%2bOS%2bjF7PiZposnjSu8cd9fwAJCCuTE3nRo0%3d,Nightlock,8,11,Heist,13,9
