,As,Ds,Gs,Opp Score,Opponent,Score,Team,Ts,url
76,13,3,13,14,Auburn,13,Minnesota,7,/teams/events/match_report/?EventGameId=i1j4d8tjUL6h6e0Cs%2bkLgL1kvGcHnxWDm1Uh%2bM9NkQQ%3d
77,14,10,14,13,Minnesota,14,Auburn,11,/teams/events/match_report/?EventGameId=i1j4d8tjUL6h6e0Cs%2bkLgL1kvGcHnxWDm1Uh%2bM9NkQQ%3d
78,15,4,14,10,Carleton College,15,Pittsburgh,8,/teams/events/match_report/?EventGameId=1senJcESmWk7aHf%2fP4BxY3v7jgw905rm2bCCZxIq94w%3d
79,10,4,10,15,Pittsburgh,10,Carleton College,11,/teams/events/match_report/?EventGameId=1senJcESmWk7aHf%2fP4BxY3v7jgw905rm2bCCZxIq94w%3d
80,12,3,12,15,Minnesota,12,Harvard,7,/teams/events/match_report/?EventGameId=wvPID9kaNqwiLvRrRQoXWq%2b%2fWRbJpr45C07FYt4uaXI%3d
81,15,5,15,12,Harvard,15,Minnesota,5,/teams/events/match_report/?EventGameId=wvPID9kaNqwiLvRrRQoXWq%2b%2fWRbJpr45C07FYt4uaXI%3d
82,13,4,13,11,North Carolina,13,Harvard,15,/teams/events/match_report/?EventGameId=8YFHeqMvwFP%2fFMENPz7umBr8RHpUMaqrQIERkXB7oEw%3d
83,11,4,11,13,Harvard,11,North Carolina,16,/teams/events/match_report/?EventGameId=8YFHeqMvwFP%2fFMENPz7umBr8RHpUMaqrQIERkXB7oEw%3d
84,13,8,12,14,Minnesota,13,Pittsburgh,14,/teams/events/match_report/?EventGameId=M%2b1hsY1iU0myQldLeo1zsgFwCMyhQp1V5cdnq2ElzqE%3d
85,14,8,14,13,Pittsburgh,14,Minnesota,16,/teams/events/match_report/?EventGameId=M%2b1hsY1iU0myQldLeo1zsgFwCMyhQp1V5cdnq2ElzqE%3d
86,14,8,14,13,Georgia,14,Harvard,14,/teams/events/match_report/?EventGameId=wrRem%2bycpG%2byCARuRh9Uz7znoTpQuJsMIxt2VPQHDZ4%3d
87,13,8,13,14,Harvard,13,Georgia,15,/teams/events/match_report/?EventGameId=wrRem%2bycpG%2byCARuRh9Uz7znoTpQuJsMIxt2VPQHDZ4%3d
88,15,12,15,13,Auburn,15,North Carolina,16,/teams/events/match_report/?EventGameId=F%2bZ%2fSyOPP6wHb2FpTJQ8%2fRkNbajAgq4aVcWG2QJjaiQ%3d
89,13,5,13,15,North Carolina,13,Auburn,17,/teams/events/match_report/?EventGameId=F%2bZ%2fSyOPP6wHb2FpTJQ8%2fRkNbajAgq4aVcWG2QJjaiQ%3d
90,14,5,14,12,Wisconsin,14,Pittsburgh,12,/teams/events/match_report/?EventGameId=XjFbo3wOxpr9ECRfMFghV2zjUfb3ti%2fQiQsdljFHSzs%3d
91,12,8,12,14,Pittsburgh,12,Wisconsin,19,/teams/events/match_report/?EventGameId=XjFbo3wOxpr9ECRfMFghV2zjUfb3ti%2fQiQsdljFHSzs%3d
92,15,8,15,11,Colorado,15,Minnesota,14,/teams/events/match_report/?EventGameId=9aWr%2bp7RCoKaWsUO35WB7tD5JEgNudGih0euVeT5xDM%3d
93,11,6,11,15,Minnesota,11,Colorado,14,/teams/events/match_report/?EventGameId=9aWr%2bp7RCoKaWsUO35WB7tD5JEgNudGih0euVeT5xDM%3d
94,13,7,13,15,Harvard,13,Oregon,16,/teams/events/match_report/?EventGameId=ClDxsuKDFCH11M4I7Ln0VRtlZ%2fWb%2b5FLgGS1a0pNfdE%3d
95,15,9,15,13,Oregon,15,Harvard,14,/teams/events/match_report/?EventGameId=ClDxsuKDFCH11M4I7Ln0VRtlZ%2fWb%2b5FLgGS1a0pNfdE%3d
96,12,4,12,15,North Carolina,12,Michigan,13,/teams/events/match_report/?EventGameId=P3c6W4QZQ3EwMU3Su8xuYN9lz3mziE8Y01eI%2fumCb%2bY%3d
97,15,8,15,12,Michigan,15,North Carolina,12,/teams/events/match_report/?EventGameId=P3c6W4QZQ3EwMU3Su8xuYN9lz3mziE8Y01eI%2fumCb%2bY%3d
98,15,9,15,9,Texas A&M,15,Pittsburgh,8,/teams/events/match_report/?EventGameId=bLe1Wr2JEyx%2bF1ueG2hLmg2%2f2ioHoXCX6qLljX%2f61mc%3d
99,9,3,9,15,Pittsburgh,9,Texas A&M,8,/teams/events/match_report/?EventGameId=bLe1Wr2JEyx%2bF1ueG2hLmg2%2f2ioHoXCX6qLljX%2f61mc%3d
100,10,3,10,14,Minnesota,10,Massachusetts,8,/teams/events/match_report/?EventGameId=CwmhCZFCuVAOog95R8h3biGnUFrngI%2fU2Qsx8vaZxrs%3d
101,14,2,14,10,Massachusetts,14,Minnesota,5,/teams/events/match_report/?EventGameId=CwmhCZFCuVAOog95R8h3biGnUFrngI%2fU2Qsx8vaZxrs%3d
102,9,2,9,15,Utah,9,Washington,16,/teams/events/match_report/?EventGameId=lj1M0X5tuAXub8XfKi%2fRy7cck1cLBotdScmXcuEaeV8%3d
103,15,5,15,9,Washington,15,Utah,9,/teams/events/match_report/?EventGameId=lj1M0X5tuAXub8XfKi%2fRy7cck1cLBotdScmXcuEaeV8%3d
104,14,6,14,16,Connecticut,14,Case Western Reserve,16,/teams/events/match_report/?EventGameId=E7jbvmwHE8JXrJC%2f9yGdQJLXI%2bImOvVo2LYh2anpJEI%3d
105,16,9,16,14,Case Western Reserve,16,Connecticut,16,/teams/events/match_report/?EventGameId=E7jbvmwHE8JXrJC%2f9yGdQJLXI%2bImOvVo2LYh2anpJEI%3d
106,15,2,12,8,Cal Poly-SLO,15,Carleton College,6,/teams/events/match_report/?EventGameId=9zGltIeZ5%2b6X5b6gFEX7pWXpHbtc8QL4j38uzFxlTbM%3d
107,8,1,8,15,Carleton College,8,Cal Poly-SLO,7,/teams/events/match_report/?EventGameId=9zGltIeZ5%2b6X5b6gFEX7pWXpHbtc8QL4j38uzFxlTbM%3d
108,11,17,10,6,Florida State,13,North Carolina-Wilmington,19,/teams/events/match_report/?EventGameId=8XVZPh9CkAap2JRJsdozTJmPGpQ4zQbcmND4C4TJVCA%3d
109,3,11,4,13,North Carolina-Wilmington,6,Florida State,27,/teams/events/match_report/?EventGameId=8XVZPh9CkAap2JRJsdozTJmPGpQ4zQbcmND4C4TJVCA%3d
