,As,Ds,Gs,Opp Score,Opponent,Score,Team,Ts,url
58,15,14,15,10,Scandal,15,Molly Brown,22,/teams/events/match_report/?EventGameId=wNCT5878z7ywgvDbnqgfPvMX7386ktoKjR7AxoeTiPE%3d
59,10,7,10,15,Molly Brown,10,Scandal,26,/teams/events/match_report/?EventGameId=wNCT5878z7ywgvDbnqgfPvMX7386ktoKjR7AxoeTiPE%3d
60,8,11,8,15,Brute Squad,8,Nightlock,39,/teams/events/match_report/?EventGameId=m7Q%2fumuniB6qozDbPCnvVNFJLRiemKjeh57G2My3PZw%3d
61,15,14,15,8,Nightlock,15,Brute Squad,35,/teams/events/match_report/?EventGameId=m7Q%2fumuniB6qozDbPCnvVNFJLRiemKjeh57G2My3PZw%3d
62,11,8,11,15,Traffic,11,Rival,21,/teams/events/match_report/?EventGameId=tZbVu2zUeCiSlLBFkJhacchrEGEM6RvLzAAgGDt%2b9pA%3d
63,15,11,14,11,Rival,15,Traffic,24,/teams/events/match_report/?EventGameId=tZbVu2zUeCiSlLBFkJhacchrEGEM6RvLzAAgGDt%2b9pA%3d
64,12,10,13,10,Phoenix,14,Showdown,24,/teams/events/match_report/?EventGameId=YI4ETFIUuDiYbG20mC9EhG01aGU6iY6lZUA2WBLRUB0%3d
65,8,10,10,14,Showdown,10,Phoenix,30,/teams/events/match_report/?EventGameId=YI4ETFIUuDiYbG20mC9EhG01aGU6iY6lZUA2WBLRUB0%3d
66,14,20,14,11,Heist,14,Scandal,34,/teams/events/match_report/?EventGameId=Gu6XOYpJ78JMu1iQ%2bH2MRTEfyN0rcsBNUlBQRxovhWs%3d
67,11,14,11,14,Scandal,11,Heist,34,/teams/events/match_report/?EventGameId=Gu6XOYpJ78JMu1iQ%2bH2MRTEfyN0rcsBNUlBQRxovhWs%3d
68,6,8,6,15,Nightlock,6,Schwa,26,/teams/events/match_report/?EventGameId=IFJyLocQUKQy56O4PoTnlnl7Gg0RkQyjxOiCL%2fxmDV4%3d
69,15,7,14,6,Schwa,15,Nightlock,25,/teams/events/match_report/?EventGameId=IFJyLocQUKQy56O4PoTnlnl7Gg0RkQyjxOiCL%2fxmDV4%3d
70,16,5,16,15,Traffic,16,Scandal,21,/teams/events/match_report/?EventGameId=Ckz4Af%2fGMu8IOjLk94%2busdMDThoHugQsLYB0syc%2f2YQ%3d
71,15,12,15,16,Scandal,15,Traffic,20,/teams/events/match_report/?EventGameId=Ckz4Af%2fGMu8IOjLk94%2busdMDThoHugQsLYB0syc%2f2YQ%3d
72,15,13,15,8,Showdown,15,Scandal,17,/teams/events/match_report/?EventGameId=zBQIGu%2fQR9N1OdMAphu9bRPDx%2b7jKR6wTt48Sbcxb0c%3d
73,8,8,5,15,Scandal,8,Showdown,11,/teams/events/match_report/?EventGameId=zBQIGu%2fQR9N1OdMAphu9bRPDx%2b7jKR6wTt48Sbcxb0c%3d
74,11,13,11,12,Traffic,11,Nightlock,34,/teams/events/match_report/?EventGameId=oRVQki9ZgI4e7fvkuUC0s0qkNHTfpD1VFvUq6B2JfQw%3d
75,11,11,12,11,Nightlock,12,Traffic,33,/teams/events/match_report/?EventGameId=oRVQki9ZgI4e7fvkuUC0s0qkNHTfpD1VFvUq6B2JfQw%3d
76,7,3,10,15,Ozone,11,Showdown,11,/teams/events/match_report/?EventGameId=EJQAH8MQBaSsOtyzHkGIUg7wTSIXolkwtXbIRXAvLd8%3d
77,15,7,15,11,Showdown,15,Ozone,13,/teams/events/match_report/?EventGameId=EJQAH8MQBaSsOtyzHkGIUg7wTSIXolkwtXbIRXAvLd8%3d
78,7,6,6,13,Ozone,7,Phoenix,25,/teams/events/match_report/?EventGameId=VpFQaXPUPtx4fvERJpvbM15dVcYzrXGQCKC1BzTk1xM%3d
