,As,Ds,Gs,Opp Score,Opponent,Score,Team,Ts,url
80,15,7,15,6,Madison Club,15,Doublewide,10,/teams/events/match_report/?EventGameId=Tq5sdcwsVncxqQDvOmJunrW8Z0mxV9V18LWbZCZNpYQ%3d
81,6,4,6,15,Doublewide,6,Madison Club,18,/teams/events/match_report/?EventGameId=Tq5sdcwsVncxqQDvOmJunrW8Z0mxV9V18LWbZCZNpYQ%3d
82,14,10,14,12,Truck Stop,14,Ring of Fire,17,/teams/events/match_report/?EventGameId=sUjyMxq0NbXjvk4fMgo5UfBcJWdR0%2bRZ60fOJweMDak%3d
83,12,7,12,14,Ring of Fire,12,Truck Stop,20,/teams/events/match_report/?EventGameId=sUjyMxq0NbXjvk4fMgo5UfBcJWdR0%2bRZ60fOJweMDak%3d
84,11,3,11,15,Prairie Fire,11,Madison Club,4,/teams/events/match_report/?EventGameId=DrjkzP0gSRdiVaoiBnQY5BT%2fqzyNovU2YeJWGJa5jpo%3d
85,15,3,15,11,Madison Club,15,Prairie Fire,2,/teams/events/match_report/?EventGameId=DrjkzP0gSRdiVaoiBnQY5BT%2fqzyNovU2YeJWGJa5jpo%3d
86,15,2,15,10,Patrol,15,Prairie Fire,6,/teams/events/match_report/?EventGameId=AyDugven3cBi5ERCi5uXOTBM2uBW0P%2f%2fiAVkPDe%2f%2bSE%3d
87,10,1,10,15,Prairie Fire,10,Patrol,11,/teams/events/match_report/?EventGameId=AyDugven3cBi5ERCi5uXOTBM2uBW0P%2f%2fiAVkPDe%2f%2bSE%3d
88,12,7,12,15,Prairie Fire,12,HIGH FIVE,13,/teams/events/match_report/?EventGameId=lC0JAWoK58z8A79IKes9KzO0Q%2bnbY9Bw4T6I1hbs9P0%3d
89,14,4,15,12,HIGH FIVE,15,Prairie Fire,12,/teams/events/match_report/?EventGameId=lC0JAWoK58z8A79IKes9KzO0Q%2bnbY9Bw4T6I1hbs9P0%3d
90,15,3,15,10,Florida United,15,Patrol,9,/teams/events/match_report/?EventGameId=%2brANMwhKDOaP02sDBxFPeIAO%2bPiH4DI0GZ9nmdYqyEE%3d
91,10,3,10,15,Patrol,10,Florida United,12,/teams/events/match_report/?EventGameId=%2brANMwhKDOaP02sDBxFPeIAO%2bPiH4DI0GZ9nmdYqyEE%3d
92,10,2,10,12,Truck Stop,10,Sub Zero,15,/teams/events/match_report/?EventGameId=LpoQV1MzPQvjLx%2b978qbuu8ZngdYc9gLnf62aOW%2fIcQ%3d
93,12,6,12,10,Sub Zero,12,Truck Stop,11,/teams/events/match_report/?EventGameId=LpoQV1MzPQvjLx%2b978qbuu8ZngdYc9gLnf62aOW%2fIcQ%3d
94,16,6,16,15,GOAT,16,Sub Zero,13,/teams/events/match_report/?EventGameId=p0Qn94k6LUdttVs7HpY4bveE036AvOzbWKIJsxUwicA%3d
95,15,4,15,16,Sub Zero,15,GOAT,13,/teams/events/match_report/?EventGameId=p0Qn94k6LUdttVs7HpY4bveE036AvOzbWKIJsxUwicA%3d
96,14,3,14,16,Sub Zero,14,Rhino,13,/teams/events/match_report/?EventGameId=cAGk06YNx17az6xdtib%2fEe8bpXOHCQfxScawl65i9eU%3d
97,16,3,16,14,Rhino,16,Sub Zero,12,/teams/events/match_report/?EventGameId=cAGk06YNx17az6xdtib%2fEe8bpXOHCQfxScawl65i9eU%3d
98,15,2,15,11,Johnny Bravo,15,GOAT,12,/teams/events/match_report/?EventGameId=Gf0KZ8Vw23f%2fawOw5zlrdREhSaZ%2fYxU6Y0Hn6xGJlNc%3d
99,11,3,11,15,GOAT,11,Johnny Bravo,14,/teams/events/match_report/?EventGameId=Gf0KZ8Vw23f%2fawOw5zlrdREhSaZ%2fYxU6Y0Hn6xGJlNc%3d
100,10,8,10,15,GOAT,10,Patrol,15,/teams/events/match_report/?EventGameId=Dujov7sOAcbuXBcnhGf79mNA5AJa2irsYAJXvngK%2bqQ%3d
101,15,7,15,10,Patrol,15,GOAT,10,/teams/events/match_report/?EventGameId=Dujov7sOAcbuXBcnhGf79mNA5AJa2irsYAJXvngK%2bqQ%3d
102,14,5,15,13,Johnny Bravo,15,HIGH FIVE,8,/teams/events/match_report/?EventGameId=SSKGZ5NVYfS%2f%2bdlL10O6Bf%2bEnD7wvZGZd34fOdh5uww%3d
103,13,3,13,15,HIGH FIVE,13,Johnny Bravo,7,/teams/events/match_report/?EventGameId=SSKGZ5NVYfS%2f%2bdlL10O6Bf%2bEnD7wvZGZd34fOdh5uww%3d
104,14,7,14,7,Florida United,14,HIGH FIVE,13,/teams/events/match_report/?EventGameId=e1acVa76P8W08NFIpz%2bJpefFtxOxsfNU5owTkLVU6WY%3d
105,7,4,7,14,HIGH FIVE,7,Florida United,19,/teams/events/match_report/?EventGameId=e1acVa76P8W08NFIpz%2bJpefFtxOxsfNU5owTkLVU6WY%3d
106,9,4,9,15,Johnny Bravo,9,Rhino,17,/teams/events/match_report/?EventGameId=t493ILmN55zRV5YEhOBQFWYWhOWV%2bUAxHMgREP5tBFc%3d
107,15,4,15,9,Rhino,15,Johnny Bravo,12,/teams/events/match_report/?EventGameId=t493ILmN55zRV5YEhOBQFWYWhOWV%2bUAxHMgREP5tBFc%3d
108,0,0,0,0,Rhino,0,Florida United,0,/teams/events/match_report/?EventGameId=WmwJK0QESm0sAq3wUbDx8AD5j4zQ0Ju6%2bR0lH3EOqko%3d
109,0,0,0,0,Florida United,0,Rhino,0,/teams/events/match_report/?EventGameId=WmwJK0QESm0sAq3wUbDx8AD5j4zQ0Ju6%2bR0lH3EOqko%3d
