,As,Ds,Gs,Opp Score,Opp Seed,Opponent,Score,Seed,Team,Ts,url
0,8,8,13,7,14,Grit,13,11,Phoenix,9,/teams/events/match_report/?EventGameId=sGfMFyWvxVB5Dzql3cfP3pvi14OYV4Ppm0XTS8k8JpY%3d
1,3,0,0,13,11,Phoenix,7,14,Grit,2,/teams/events/match_report/?EventGameId=sGfMFyWvxVB5Dzql3cfP3pvi14OYV4Ppm0XTS8k8JpY%3d
0,3,4,3,2,16,Colorado Small Batch,13,4,Nightlock,3,/teams/events/match_report/?EventGameId=LTo%2f8NpwVDkkY57qK256BC0wDn%2bf%2bHlMrO2aUOb%2fBgk%3d
1,0,0,1,13,4,Nightlock,2,16,Colorado Small Batch,0,/teams/events/match_report/?EventGameId=LTo%2f8NpwVDkkY57qK256BC0wDn%2bf%2bHlMrO2aUOb%2fBgk%3d
0,0,0,0,10,5,Schwa,11,1,Molly Brown,0,/teams/events/match_report/?EventGameId=1Pbt8Z5KRW%2fHrqnBRWpRvv7Hivvyn2ed3DyTq3MuWcs%3d
1,0,0,0,11,1,Molly Brown,10,5,Schwa,0,/teams/events/match_report/?EventGameId=1Pbt8Z5KRW%2fHrqnBRWpRvv7Hivvyn2ed3DyTq3MuWcs%3d
0,0,0,0,10,6,Ozone,13,11,Phoenix,0,/teams/events/match_report/?EventGameId=hRd75B4OTrEC5Rw7kB1XEBMkIp9S0Lu4LP7dC%2bXgDM0%3d
1,0,0,0,13,11,Phoenix,10,6,Ozone,0,/teams/events/match_report/?EventGameId=hRd75B4OTrEC5Rw7kB1XEBMkIp9S0Lu4LP7dC%2bXgDM0%3d
0,0,0,0,12,12,Showdown,8,4,Nightlock,0,/teams/events/match_report/?EventGameId=Nheu40UXPfPzcSZkgwqftdbINYwwEwSKxsPXiWxu1Ko%3d
1,0,0,0,8,4,Nightlock,12,12,Showdown,0,/teams/events/match_report/?EventGameId=Nheu40UXPfPzcSZkgwqftdbINYwwEwSKxsPXiWxu1Ko%3d
0,13,1,12,9,11,Phoenix,13,2,Scandal,0,/teams/events/match_report/?EventGameId=It079kZxYbQYs9IkvB4KFzdaszdpHn4yRsNiOehdv9w%3d
1,8,4,8,13,2,Scandal,9,11,Phoenix,1,/teams/events/match_report/?EventGameId=It079kZxYbQYs9IkvB4KFzdaszdpHn4yRsNiOehdv9w%3d
0,13,5,13,8,13,Heist,13,8,Nemesis,0,/teams/events/match_report/?EventGameId=t6D6OqzSTYENSV3Gb0wsx6ZaC9woOnaFQjUgXzbiRRY%3d
1,7,2,8,13,8,Nemesis,8,13,Heist,0,/teams/events/match_report/?EventGameId=t6D6OqzSTYENSV3Gb0wsx6ZaC9woOnaFQjUgXzbiRRY%3d
0,0,0,0,6,8,Nemesis,13,2,Scandal,0,/teams/events/match_report/?EventGameId=i4vPfUyeGNO36KKak6BraZWQviCmK3POVO8Vl0BPe2U%3d
1,0,0,0,13,2,Scandal,6,8,Nemesis,0,/teams/events/match_report/?EventGameId=i4vPfUyeGNO36KKak6BraZWQviCmK3POVO8Vl0BPe2U%3d
0,0,0,0,9,15,Wicked,12,9,Pop,0,/teams/events/match_report/?EventGameId=V0qcRfpWvk5VVfp4hBuxyn7RkCqOrmNrNOauII94z1s%3d
1,0,0,0,12,9,Pop,9,15,Wicked,0,/teams/events/match_report/?EventGameId=V0qcRfpWvk5VVfp4hBuxyn7RkCqOrmNrNOauII94z1s%3d
0,0,0,0,8,16,Colorado Small Batch,11,14,Grit,0,/teams/events/match_report/?EventGameId=pIXvv3gVEjUuIwxQeBPD5U4E4%2bqqRTiZ9ncu1NtI2NU%3d
1,0,0,0,11,14,Grit,8,16,Colorado Small Batch,0,/teams/events/match_report/?EventGameId=pIXvv3gVEjUuIwxQeBPD5U4E4%2bqqRTiZ9ncu1NtI2NU%3d
