,No.,Name,Position,Height,Points,Assists,Ds,Turns,url,Team,Seed,UpperName
9,0.0,Meghan Bartlett,,,,,,,/events/teams/?EventTeamId=%2f6UxaZU9o9RTfkOIe6qRTgylwT99oZ22%2bXA3JITBYWA%3d,Grit,14,MEGHAN BARTLETT
10,0.0,Molly Barlow,,,,,,,/events/teams/?EventTeamId=%2f6UxaZU9o9RTfkOIe6qRTgylwT99oZ22%2bXA3JITBYWA%3d,Grit,14,MOLLY BARLOW
11,0.0,Nami Sumida,,,,,,,/events/teams/?EventTeamId=%2f6UxaZU9o9RTfkOIe6qRTgylwT99oZ22%2bXA3JITBYWA%3d,Grit,14,NAMI SUMIDA
12,0.0,Neena Kashyap,,,,,,,/events/teams/?EventTeamId=%2f6UxaZU9o9RTfkOIe6qRTgylwT99oZ22%2bXA3JITBYWA%3d,Grit,14,NEENA KASHYAP
13,0.0,Olivia Arellano,,,,,,,/events/teams/?EventTeamId=%2f6UxaZU9o9RTfkOIe6qRTgylwT99oZ22%2bXA3JITBYWA%3d,Grit,14,OLIVIA ARELLANO
14,0.0,Paige Nelson,,,,,,,/events/teams/?EventTeamId=%2f6UxaZU9o9RTfkOIe6qRTgylwT99oZ22%2bXA3JITBYWA%3d,Grit,14,PAIGE NELSON
15,0.0,Sarah Pagan,Cutter,"5'2""",,,,,/events/teams/?EventTeamId=%2f6UxaZU9o9RTfkOIe6qRTgylwT99oZ22%2bXA3JITBYWA%3d,Grit,14,SARAH PAGAN
16,0.0,Sarah Buxbaum,,,,,,,/events/teams/?EventTeamId=%2f6UxaZU9o9RTfkOIe6qRTgylwT99oZ22%2bXA3JITBYWA%3d,Grit,14,SARAH BUXBAUM
17,0.0,Shannon Tsai,,,,,,,/events/teams/?EventTeamId=%2f6UxaZU9o9RTfkOIe6qRTgylwT99oZ22%2bXA3JITBYWA%3d,Grit,14,SHANNON TSAI
18,0.0,Shirlee Wohl,,"5'6""",,,,,/events/teams/?EventTeamId=%2f6UxaZU9o9RTfkOIe6qRTgylwT99oZ22%2bXA3JITBYWA%3d,Grit,14,SHIRLEE WOHL
19,0.0,Anastasia Mark,Handler,"5'9""",,1.0,,,/events/teams/?EventTeamId=%2f6UxaZU9o9RTfkOIe6qRTgylwT99oZ22%2bXA3JITBYWA%3d,Grit,14,ANASTASIA MARK
20,0.0,Anne Price,,,,,,,/events/teams/?EventTeamId=%2f6UxaZU9o9RTfkOIe6qRTgylwT99oZ22%2bXA3JITBYWA%3d,Grit,14,ANNE PRICE
21,0.0,Claire Smullen,,,,,,,/events/teams/?EventTeamId=%2f6UxaZU9o9RTfkOIe6qRTgylwT99oZ22%2bXA3JITBYWA%3d,Grit,14,CLAIRE SMULLEN
22,0.0,Elena Rubino,,,,,,,/events/teams/?EventTeamId=%2f6UxaZU9o9RTfkOIe6qRTgylwT99oZ22%2bXA3JITBYWA%3d,Grit,14,ELENA RUBINO
23,17.0,Elizabeth Pugh,Handler,"1'0""",,1.0,,1.0,/events/teams/?EventTeamId=%2f6UxaZU9o9RTfkOIe6qRTgylwT99oZ22%2bXA3JITBYWA%3d,Grit,14,ELIZABETH PUGH
24,37.0,Carolyn Clendenin,Cutter,,6.0,,1.0,3.0,/events/teams/?EventTeamId=%2f6UxaZU9o9RTfkOIe6qRTgylwT99oZ22%2bXA3JITBYWA%3d,Grit,14,CAROLYN CLENDENIN
25,64.0,Becca Arbacher,Cutter,"5'6""",1.0,1.0,2.0,3.0,/events/teams/?EventTeamId=%2f6UxaZU9o9RTfkOIe6qRTgylwT99oZ22%2bXA3JITBYWA%3d,Grit,14,BECCA ARBACHER
0,,Emma Frankel,,,,,,,/events/teams/?EventTeamId=psWjrUCERVsnUZ2dJumQkXakC6J2z0C1UyehzHpLYrI%3d,Wildfire,7,EMMA FRANKEL
1,,Kristen Pojunis,Defense (Cutter),"5'7""",,,,,/events/teams/?EventTeamId=psWjrUCERVsnUZ2dJumQkXakC6J2z0C1UyehzHpLYrI%3d,Wildfire,7,KRISTEN POJUNIS
2,,Rachel Ling,,,,,,,/events/teams/?EventTeamId=psWjrUCERVsnUZ2dJumQkXakC6J2z0C1UyehzHpLYrI%3d,Wildfire,7,RACHEL LING
3,5.0,Alexa Cohen,Cutter,"5'6""",5.0,1.0,,,/events/teams/?EventTeamId=psWjrUCERVsnUZ2dJumQkXakC6J2z0C1UyehzHpLYrI%3d,Wildfire,7,ALEXA COHEN
4,8.0,Alexandra Diaz,,,5.0,3.0,1.0,2.0,/events/teams/?EventTeamId=psWjrUCERVsnUZ2dJumQkXakC6J2z0C1UyehzHpLYrI%3d,Wildfire,7,ALEXANDRA DIAZ
5,10.0,Christy Jarman,Defense (Cutter),"5'10""",,,1.0,,/events/teams/?EventTeamId=psWjrUCERVsnUZ2dJumQkXakC6J2z0C1UyehzHpLYrI%3d,Wildfire,7,CHRISTY JARMAN
6,11.0,Melissa Dunn,Cutter,"5'4""",2.0,4.0,,,/events/teams/?EventTeamId=psWjrUCERVsnUZ2dJumQkXakC6J2z0C1UyehzHpLYrI%3d,Wildfire,7,MELISSA DUNN
7,12.0,Angela Dong,,,1.0,1.0,,,/events/teams/?EventTeamId=psWjrUCERVsnUZ2dJumQkXakC6J2z0C1UyehzHpLYrI%3d,Wildfire,7,ANGELA DONG
8,16.0,Audrey Brown,,,1.0,2.0,,,/events/teams/?EventTeamId=psWjrUCERVsnUZ2dJumQkXakC6J2z0C1UyehzHpLYrI%3d,Wildfire,7,AUDREY BROWN
9,18.0,Rebeca Ellis,,,1.0,1.0,1.0,2.0,/events/teams/?EventTeamId=psWjrUCERVsnUZ2dJumQkXakC6J2z0C1UyehzHpLYrI%3d,Wildfire,7,REBECA ELLIS
10,19.0,Amanda Albi,Mid,"5'2""",4.0,,2.0,,/events/teams/?EventTeamId=psWjrUCERVsnUZ2dJumQkXakC6J2z0C1UyehzHpLYrI%3d,Wildfire,7,AMANDA ALBI
11,20.0,Kelli Iwamoto,Handler,,,,,,/events/teams/?EventTeamId=psWjrUCERVsnUZ2dJumQkXakC6J2z0C1UyehzHpLYrI%3d,Wildfire,7,KELLI IWAMOTO
12,22.0,Sheliemae Reyes,Handler,"5'3""",2.0,3.0,1.0,2.0,/events/teams/?EventTeamId=psWjrUCERVsnUZ2dJumQkXakC6J2z0C1UyehzHpLYrI%3d,Wildfire,7,SHELIEMAE REYES
13,28.0,Brittnee Grimshaw,Handler/Cutter,"5'2""",2.0,3.0,,,/events/teams/?EventTeamId=psWjrUCERVsnUZ2dJumQkXakC6J2z0C1UyehzHpLYrI%3d,Wildfire,7,BRITTNEE GRIMSHAW
14,29.0,Juliana Jordan,Handler/Cutter,"5'6""",,1.0,1.0,,/events/teams/?EventTeamId=psWjrUCERVsnUZ2dJumQkXakC6J2z0C1UyehzHpLYrI%3d,Wildfire,7,JULIANA JORDAN
15,37.0,Hannah Walter,,"5'9""",4.0,4.0,,1.0,/events/teams/?EventTeamId=psWjrUCERVsnUZ2dJumQkXakC6J2z0C1UyehzHpLYrI%3d,Wildfire,7,HANNAH WALTER
16,44.0,Rayna Wachs,,,1.0,2.0,1.0,1.0,/events/teams/?EventTeamId=psWjrUCERVsnUZ2dJumQkXakC6J2z0C1UyehzHpLYrI%3d,Wildfire,7,RAYNA WACHS
17,47.0,Dena Elimelech,,,,,,,/events/teams/?EventTeamId=psWjrUCERVsnUZ2dJumQkXakC6J2z0C1UyehzHpLYrI%3d,Wildfire,7,DENA ELIMELECH
18,51.0,Lindsay Lang,,,,4.0,,3.0,/events/teams/?EventTeamId=psWjrUCERVsnUZ2dJumQkXakC6J2z0C1UyehzHpLYrI%3d,Wildfire,7,LINDSAY LANG
19,52.0,Annie Ngo,,,1.0,1.0,,,/events/teams/?EventTeamId=psWjrUCERVsnUZ2dJumQkXakC6J2z0C1UyehzHpLYrI%3d,Wildfire,7,ANNIE NGO
20,61.0,Hani Pajela,,"1'0""",,3.0,,,/events/teams/?EventTeamId=psWjrUCERVsnUZ2dJumQkXakC6J2z0C1UyehzHpLYrI%3d,Wildfire,7,HANI PAJELA
21,81.0,Ellen Smith,,,,,,2.0,/events/teams/?EventTeamId=psWjrUCERVsnUZ2dJumQkXakC6J2z0C1UyehzHpLYrI%3d,Wildfire,7,ELLEN SMITH
22,88.0,Alisha Stoun,,,1.0,,,,/events/teams/?EventTeamId=psWjrUCERVsnUZ2dJumQkXakC6J2z0C1UyehzHpLYrI%3d,Wildfire,7,ALISHA STOUN
0,,Hannah Dawson,,,,,,,/events/teams/?EventTeamId=FWNQHvvoLquiYnn2w2pnXAvhpfsmQEt3Js1Iw9IX0zA%3d,6ixers,3,HANNAH DAWSON
1,,Jeannette Quach,,,,,,,/events/teams/?EventTeamId=FWNQHvvoLquiYnn2w2pnXAvhpfsmQEt3Js1Iw9IX0zA%3d,6ixers,3,JEANNETTE QUACH
2,,Krystal Dos Santos,,"5'5""",,,,,/events/teams/?EventTeamId=FWNQHvvoLquiYnn2w2pnXAvhpfsmQEt3Js1Iw9IX0zA%3d,6ixers,3,KRYSTAL DOS SANTOS
3,,Sabrina Chapman,,,,,,,/events/teams/?EventTeamId=FWNQHvvoLquiYnn2w2pnXAvhpfsmQEt3Js1Iw9IX0zA%3d,6ixers,3,SABRINA CHAPMAN
4,0.0,Kimberly Morin Coulombe,,,,,,,/events/teams/?EventTeamId=FWNQHvvoLquiYnn2w2pnXAvhpfsmQEt3Js1Iw9IX0zA%3d,6ixers,3,KIMBERLY MORIN COULOMBE
5,0.0,Adrianna Rowe,,,1.0,,,,/events/teams/?EventTeamId=FWNQHvvoLquiYnn2w2pnXAvhpfsmQEt3Js1Iw9IX0zA%3d,6ixers,3,ADRIANNA ROWE
6,0.0,Bethany Wong,,,,,,,/events/teams/?EventTeamId=FWNQHvvoLquiYnn2w2pnXAvhpfsmQEt3Js1Iw9IX0zA%3d,6ixers,3,BETHANY WONG
7,0.0,Christine Jurychuk,,,,,,,/events/teams/?EventTeamId=FWNQHvvoLquiYnn2w2pnXAvhpfsmQEt3Js1Iw9IX0zA%3d,6ixers,3,CHRISTINE JURYCHUK
8,0.0,Cindy Truong,,,,,,,/events/teams/?EventTeamId=FWNQHvvoLquiYnn2w2pnXAvhpfsmQEt3Js1Iw9IX0zA%3d,6ixers,3,CINDY TRUONG
9,0.0,Eliana Rico,,,,,,,/events/teams/?EventTeamId=FWNQHvvoLquiYnn2w2pnXAvhpfsmQEt3Js1Iw9IX0zA%3d,6ixers,3,ELIANA RICO
10,0.0,Sarah Kidd,,,,,,,/events/teams/?EventTeamId=FWNQHvvoLquiYnn2w2pnXAvhpfsmQEt3Js1Iw9IX0zA%3d,6ixers,3,SARAH KIDD
11,14.0,Miriam Tingle,,"1'0""",1.0,,,,/events/teams/?EventTeamId=FWNQHvvoLquiYnn2w2pnXAvhpfsmQEt3Js1Iw9IX0zA%3d,6ixers,3,MIRIAM TINGLE
12,16.0,Jessica Chen,,,,1.0,,1.0,/events/teams/?EventTeamId=FWNQHvvoLquiYnn2w2pnXAvhpfsmQEt3Js1Iw9IX0zA%3d,6ixers,3,JESSICA CHEN
13,17.0,Nicolette Bertsch,,"5'7""",,2.0,,,/events/teams/?EventTeamId=FWNQHvvoLquiYnn2w2pnXAvhpfsmQEt3Js1Iw9IX0zA%3d,6ixers,3,NICOLETTE BERTSCH
14,20.0,Lauren Kimura,,"5'8""",2.0,9.0,1.0,1.0,/events/teams/?EventTeamId=FWNQHvvoLquiYnn2w2pnXAvhpfsmQEt3Js1Iw9IX0zA%3d,6ixers,3,LAUREN KIMURA
15,22.0,Sarah Bobak,,"5'7""",1.0,1.0,1.0,,/events/teams/?EventTeamId=FWNQHvvoLquiYnn2w2pnXAvhpfsmQEt3Js1Iw9IX0zA%3d,6ixers,3,SARAH BOBAK
16,28.0,Jenna McLeod,,,2.0,1.0,,,/events/teams/?EventTeamId=FWNQHvvoLquiYnn2w2pnXAvhpfsmQEt3Js1Iw9IX0zA%3d,6ixers,3,JENNA MCLEOD
17,35.0,Molly Lewis,,,,1.0,2.0,,/events/teams/?EventTeamId=FWNQHvvoLquiYnn2w2pnXAvhpfsmQEt3Js1Iw9IX0zA%3d,6ixers,3,MOLLY LEWIS
18,51.0,Sarah Innes,,,4.0,2.0,,1.0,/events/teams/?EventTeamId=FWNQHvvoLquiYnn2w2pnXAvhpfsmQEt3Js1Iw9IX0zA%3d,6ixers,3,SARAH INNES
19,90.0,Jordan Meron,,,3.0,1.0,,,/events/teams/?EventTeamId=FWNQHvvoLquiYnn2w2pnXAvhpfsmQEt3Js1Iw9IX0zA%3d,6ixers,3,JORDAN MERON
0,0.0,Paige Soper,,,1.0,9.0,,,/events/teams/?EventTeamId=0SdFdO2z%2feRklRTDeuqt3xRUaCb1BaKDPdOkE%2b3JJ9Y%3d,Rival,10,PAIGE SOPER
1,2.0,Lucy Bender,Mid,"5'6""",,,,,/events/teams/?EventTeamId=0SdFdO2z%2feRklRTDeuqt3xRUaCb1BaKDPdOkE%2b3JJ9Y%3d,Rival,10,LUCY BENDER
2,5.0,Stephanie (Stevie) Miller,,"5'6""",,1.0,,,/events/teams/?EventTeamId=0SdFdO2z%2feRklRTDeuqt3xRUaCb1BaKDPdOkE%2b3JJ9Y%3d,Rival,10,STEPHANIE (STEVIE) MILLER
3,6.0,Corinn Pruitt,,"5'6""",,1.0,,1.0,/events/teams/?EventTeamId=0SdFdO2z%2feRklRTDeuqt3xRUaCb1BaKDPdOkE%2b3JJ9Y%3d,Rival,10,CORINN PRUITT
4,7.0,Sara Nitz,,,3.0,,,,/events/teams/?EventTeamId=0SdFdO2z%2feRklRTDeuqt3xRUaCb1BaKDPdOkE%2b3JJ9Y%3d,Rival,10,SARA NITZ
5,8.0,Becky Moore,,"5'8""",1.0,,,1.0,/events/teams/?EventTeamId=0SdFdO2z%2feRklRTDeuqt3xRUaCb1BaKDPdOkE%2b3JJ9Y%3d,Rival,10,BECKY MOORE
6,9.0,Janine Walker,,,,1.0,,,/events/teams/?EventTeamId=0SdFdO2z%2feRklRTDeuqt3xRUaCb1BaKDPdOkE%2b3JJ9Y%3d,Rival,10,JANINE WALKER
7,10.0,Kristen Smiach,,,,,,,/events/teams/?EventTeamId=0SdFdO2z%2feRklRTDeuqt3xRUaCb1BaKDPdOkE%2b3JJ9Y%3d,Rival,10,KRISTEN SMIACH
8,11.0,Tracey Lo,,"4'4""",,,,,/events/teams/?EventTeamId=0SdFdO2z%2feRklRTDeuqt3xRUaCb1BaKDPdOkE%2b3JJ9Y%3d,Rival,10,TRACEY LO
9,13.0,Madison Fleming,,,2.0,1.0,,,/events/teams/?EventTeamId=0SdFdO2z%2feRklRTDeuqt3xRUaCb1BaKDPdOkE%2b3JJ9Y%3d,Rival,10,MADISON FLEMING
10,14.0,Sharon Yee,,,,1.0,,1.0,/events/teams/?EventTeamId=0SdFdO2z%2feRklRTDeuqt3xRUaCb1BaKDPdOkE%2b3JJ9Y%3d,Rival,10,SHARON YEE
11,15.0,Brittany Wright,,"5'4""",4.0,,,,/events/teams/?EventTeamId=0SdFdO2z%2feRklRTDeuqt3xRUaCb1BaKDPdOkE%2b3JJ9Y%3d,Rival,10,BRITTANY WRIGHT
12,16.0,Lilly Mendoza,,"5'1""",,,,,/events/teams/?EventTeamId=0SdFdO2z%2feRklRTDeuqt3xRUaCb1BaKDPdOkE%2b3JJ9Y%3d,Rival,10,LILLY MENDOZA
13,18.0,Caitlin Harley,,,1.0,2.0,1.0,,/events/teams/?EventTeamId=0SdFdO2z%2feRklRTDeuqt3xRUaCb1BaKDPdOkE%2b3JJ9Y%3d,Rival,10,CAITLIN HARLEY
14,19.0,Laura Soter,,,2.0,1.0,,,/events/teams/?EventTeamId=0SdFdO2z%2feRklRTDeuqt3xRUaCb1BaKDPdOkE%2b3JJ9Y%3d,Rival,10,LAURA SOTER
15,20.0,Sophia Knowles,,"5'9""",2.0,2.0,1.0,,/events/teams/?EventTeamId=0SdFdO2z%2feRklRTDeuqt3xRUaCb1BaKDPdOkE%2b3JJ9Y%3d,Rival,10,SOPHIA KNOWLES
16,22.0,Elizabeth Lehman,Handler,"5'8""",2.0,4.0,,1.0,/events/teams/?EventTeamId=0SdFdO2z%2feRklRTDeuqt3xRUaCb1BaKDPdOkE%2b3JJ9Y%3d,Rival,10,ELIZABETH LEHMAN
17,27.0,Megan Gordon,,,4.0,,,1.0,/events/teams/?EventTeamId=0SdFdO2z%2feRklRTDeuqt3xRUaCb1BaKDPdOkE%2b3JJ9Y%3d,Rival,10,MEGAN GORDON
18,28.0,Emma Schroder,Defense (Cutter),"5'10""",,,,,/events/teams/?EventTeamId=0SdFdO2z%2feRklRTDeuqt3xRUaCb1BaKDPdOkE%2b3JJ9Y%3d,Rival,10,EMMA SCHRODER
19,30.0,Mackenzie Fazekas,,,,1.0,,1.0,/events/teams/?EventTeamId=0SdFdO2z%2feRklRTDeuqt3xRUaCb1BaKDPdOkE%2b3JJ9Y%3d,Rival,10,MACKENZIE FAZEKAS
20,31.0,Sara Scott,,,3.0,2.0,,2.0,/events/teams/?EventTeamId=0SdFdO2z%2feRklRTDeuqt3xRUaCb1BaKDPdOkE%2b3JJ9Y%3d,Rival,10,SARA SCOTT
21,37.0,Kari Paine,,,2.0,1.0,,1.0,/events/teams/?EventTeamId=0SdFdO2z%2feRklRTDeuqt3xRUaCb1BaKDPdOkE%2b3JJ9Y%3d,Rival,10,KARI PAINE
22,99.0,Iris Javersak,,,2.0,1.0,1.0,,/events/teams/?EventTeamId=0SdFdO2z%2feRklRTDeuqt3xRUaCb1BaKDPdOkE%2b3JJ9Y%3d,Rival,10,IRIS JAVERSAK
0,0.0,Charlotte Purcell,,,,,,,/events/teams/?EventTeamId=odTafUUbU8rIBxnx8GiJ0xEfqRmgmvOwclDYlO0gU6g%3d,Ozone,6,CHARLOTTE PURCELL
1,0.0,Jenny Choi,Handler,"1'0""",,,,,/events/teams/?EventTeamId=odTafUUbU8rIBxnx8GiJ0xEfqRmgmvOwclDYlO0gU6g%3d,Ozone,6,JENNY CHOI
2,0.0,Madeleine (Maddy) Frey,Cutter,"5'7""",,,,,/events/teams/?EventTeamId=odTafUUbU8rIBxnx8GiJ0xEfqRmgmvOwclDYlO0gU6g%3d,Ozone,6,MADELEINE (MADDY) FREY
3,0.0,Michelle Yang,,,,,,,/events/teams/?EventTeamId=odTafUUbU8rIBxnx8GiJ0xEfqRmgmvOwclDYlO0gU6g%3d,Ozone,6,MICHELLE YANG
4,1.0,Alexandra Fairley,,,4.0,,,2.0,/events/teams/?EventTeamId=odTafUUbU8rIBxnx8GiJ0xEfqRmgmvOwclDYlO0gU6g%3d,Ozone,6,ALEXANDRA FAIRLEY
5,3.0,Paige Carver,Defense (Cutter),"5'0""",1.0,4.0,,,/events/teams/?EventTeamId=odTafUUbU8rIBxnx8GiJ0xEfqRmgmvOwclDYlO0gU6g%3d,Ozone,6,PAIGE CARVER
6,4.0,Marissa Hicks,,,4.0,,1.0,1.0,/events/teams/?EventTeamId=odTafUUbU8rIBxnx8GiJ0xEfqRmgmvOwclDYlO0gU6g%3d,Ozone,6,MARISSA HICKS
7,8.0,Samantha Daugherty,,,9.0,1.0,1.0,1.0,/events/teams/?EventTeamId=odTafUUbU8rIBxnx8GiJ0xEfqRmgmvOwclDYlO0gU6g%3d,Ozone,6,SAMANTHA DAUGHERTY
8,9.0,Anraya Palmer,,"1'0""",2.0,1.0,,1.0,/events/teams/?EventTeamId=odTafUUbU8rIBxnx8GiJ0xEfqRmgmvOwclDYlO0gU6g%3d,Ozone,6,ANRAYA PALMER
