,home_score,away_score,url,home_team,away_team,home_seed,away_seed,home_final_score,away_final_score
18,12,6,/teams/events/match_report/?EventGameId=C9tPVKJ2%2btfpu%2fnmiRjy51oSwT20%2bVrsJn7Oi9zzQno%3d,Drag'n Thrust,AMP,1,2,13,9
0,0,0,/teams/events/match_report/?EventGameId=O9M70G6oPBaZLUPk8nk2%2f%2fCZDYnl%2feAMTlMW%2fXzy5VI%3d,Slow White,Snake Country,3,7,11,15
0,0,0,/teams/events/match_report/?EventGameId=VaIXeGl1Fl07qmIKScTCoDdIIkgcdjAn7WoHNGgK7uE%3d,Drag'n Thrust,Love Tractor,1,8,15,12
0,0,0,/teams/events/match_report/?EventGameId=2p4xpc3W9WbF9giY9oR%2fshnjOMBeI9wUK2Tg48q5p5I%3d,Slow White,XIST,3,9,12,9
0,0,0,/teams/events/match_report/?EventGameId=qHERqT2q6lxptBWIlnYaN0NaLvyazOzGPWuDCvrsCE8%3d,Jughandle,XIST,10,9,13,9
0,0,0,/teams/events/match_report/?EventGameId=RrqnRuEdaJRspDqd4ih0ELea9%2f3kv23N%2bC%2f7CbRz3xY%3d,Space Heater,XIST,6,9,13,14
1,0,1,/teams/events/match_report/?EventGameId=RrqnRuEdaJRspDqd4ih0ELea9%2f3kv23N%2bC%2f7CbRz3xY%3d,Space Heater,XIST,6,9,13,14
2,0,2,/teams/events/match_report/?EventGameId=RrqnRuEdaJRspDqd4ih0ELea9%2f3kv23N%2bC%2f7CbRz3xY%3d,Space Heater,XIST,6,9,13,14
3,0,3,/teams/events/match_report/?EventGameId=RrqnRuEdaJRspDqd4ih0ELea9%2f3kv23N%2bC%2f7CbRz3xY%3d,Space Heater,XIST,6,9,13,14
4,0,4,/teams/events/match_report/?EventGameId=RrqnRuEdaJRspDqd4ih0ELea9%2f3kv23N%2bC%2f7CbRz3xY%3d,Space Heater,XIST,6,9,13,14
5,0,5,/teams/events/match_report/?EventGameId=RrqnRuEdaJRspDqd4ih0ELea9%2f3kv23N%2bC%2f7CbRz3xY%3d,Space Heater,XIST,6,9,13,14
6,0,6,/teams/events/match_report/?EventGameId=RrqnRuEdaJRspDqd4ih0ELea9%2f3kv23N%2bC%2f7CbRz3xY%3d,Space Heater,XIST,6,9,13,14
7,0,7,/teams/events/match_report/?EventGameId=RrqnRuEdaJRspDqd4ih0ELea9%2f3kv23N%2bC%2f7CbRz3xY%3d,Space Heater,XIST,6,9,13,14
8,0,8,/teams/events/match_report/?EventGameId=RrqnRuEdaJRspDqd4ih0ELea9%2f3kv23N%2bC%2f7CbRz3xY%3d,Space Heater,XIST,6,9,13,14
9,0,9,/teams/events/match_report/?EventGameId=RrqnRuEdaJRspDqd4ih0ELea9%2f3kv23N%2bC%2f7CbRz3xY%3d,Space Heater,XIST,6,9,13,14
10,0,10,/teams/events/match_report/?EventGameId=RrqnRuEdaJRspDqd4ih0ELea9%2f3kv23N%2bC%2f7CbRz3xY%3d,Space Heater,XIST,6,9,13,14
11,0,11,/teams/events/match_report/?EventGameId=RrqnRuEdaJRspDqd4ih0ELea9%2f3kv23N%2bC%2f7CbRz3xY%3d,Space Heater,XIST,6,9,13,14
12,0,12,/teams/events/match_report/?EventGameId=RrqnRuEdaJRspDqd4ih0ELea9%2f3kv23N%2bC%2f7CbRz3xY%3d,Space Heater,XIST,6,9,13,14
13,0,13,/teams/events/match_report/?EventGameId=RrqnRuEdaJRspDqd4ih0ELea9%2f3kv23N%2bC%2f7CbRz3xY%3d,Space Heater,XIST,6,9,13,14
14,0,14,/teams/events/match_report/?EventGameId=RrqnRuEdaJRspDqd4ih0ELea9%2f3kv23N%2bC%2f7CbRz3xY%3d,Space Heater,XIST,6,9,13,14
0,0,0,/teams/events/match_report/?EventGameId=UbGvStFihyRx9tw6G1cRfXCyn4cOWUxpUSXsJHtGz80%3d,Drag'n Thrust,Love Tractor,1,8,13,11
