,As,Ds,Gs,Opp Score,Opp Seed,Opponent,Score,Seed,Team,Ts,url
0,8,9,7,13,5,BFG,8,4,Slow White,25,/teams/events/match_report/?EventGameId=Cz1yqg3EA1lYGBvHqrXG3mKBBXXBQRVn2m9TyeGtHx0%3d
1,12,13,13,8,4,Slow White,13,5,BFG,21,/teams/events/match_report/?EventGameId=Cz1yqg3EA1lYGBvHqrXG3mKBBXXBQRVn2m9TyeGtHx0%3d
0,10,8,10,15,13,Public Enemy,10,12,NOISE,17,/teams/events/match_report/?EventGameId=pGcSQWVZLixAgMkI6%2fZMTU7MBBDrxKLwCStjNqdFYt0%3d
1,14,8,15,10,12,NOISE,15,13,Public Enemy,13,/teams/events/match_report/?EventGameId=pGcSQWVZLixAgMkI6%2fZMTU7MBBDrxKLwCStjNqdFYt0%3d
0,12,9,11,9,14,Metro North,12,7,Blackbird,17,/teams/events/match_report/?EventGameId=iGJxc4FZZXIhQk%2fXGFIQBCsA49u2t0OLa9rY0r%2ff9Z4%3d
1,9,6,9,12,7,Blackbird,9,14,Metro North,16,/teams/events/match_report/?EventGameId=iGJxc4FZZXIhQk%2fXGFIQBCsA49u2t0OLa9rY0r%2ff9Z4%3d
0,14,10,14,13,15,Love Tractor,14,6,Wild Card,23,/teams/events/match_report/?EventGameId=xYh9EvZe5SHSMUoB%2bvrsvWn9uth9WHQxXSaM3ywUssE%3d
1,12,9,13,14,6,Wild Card,13,15,Love Tractor,24,/teams/events/match_report/?EventGameId=xYh9EvZe5SHSMUoB%2bvrsvWn9uth9WHQxXSaM3ywUssE%3d
0,9,3,9,15,6,Wild Card,9,7,Blackbird,4,/teams/events/match_report/?EventGameId=mhzmoh2q7aJL8%2fqq5kGGUy%2b7d%2fJeqI6PePmwPXV6WP0%3d
1,15,3,15,9,7,Blackbird,15,6,Wild Card,3,/teams/events/match_report/?EventGameId=mhzmoh2q7aJL8%2fqq5kGGUy%2b7d%2fJeqI6PePmwPXV6WP0%3d
0,12,13,12,11,14,Metro North,12,11,Toro,24,/teams/events/match_report/?EventGameId=r241mNHUcbEWwXdLqlY%2ba%2f6WNylCKvki27DBFA%2bg%2f%2bw%3d
1,11,8,11,12,11,Toro,11,14,Metro North,26,/teams/events/match_report/?EventGameId=r241mNHUcbEWwXdLqlY%2ba%2f6WNylCKvki27DBFA%2bg%2f%2bw%3d
0,14,13,14,12,12,NOISE,14,8,Mischief,27,/teams/events/match_report/?EventGameId=yOp7cCZxEQh%2bHGYgLIqqUUMjaI7%2fhjKNDICyH52ZR%2bg%3d
1,12,14,12,14,8,Mischief,12,12,NOISE,26,/teams/events/match_report/?EventGameId=yOp7cCZxEQh%2bHGYgLIqqUUMjaI7%2fhjKNDICyH52ZR%2bg%3d
0,15,5,15,11,4,Slow White,15,1,Seattle Mixtape,8,/teams/events/match_report/?EventGameId=cVpbZaYZw3wealX6mdB4Xy6e8EZbzYuFunINXQG%2bUEo%3d
1,11,3,11,15,1,Seattle Mixtape,11,4,Slow White,11,/teams/events/match_report/?EventGameId=cVpbZaYZw3wealX6mdB4Xy6e8EZbzYuFunINXQG%2bUEo%3d
0,13,3,14,9,7,Blackbird,14,2,AMP,11,/teams/events/match_report/?EventGameId=z1bHVySSxmOf2iBdSnd9jvtqbG27WAvyY5i74YVDJ94%3d
1,9,2,9,14,2,AMP,9,7,Blackbird,16,/teams/events/match_report/?EventGameId=z1bHVySSxmOf2iBdSnd9jvtqbG27WAvyY5i74YVDJ94%3d
0,14,9,14,15,13,Public Enemy,14,3,Drag'n Thrust,27,/teams/events/match_report/?EventGameId=huSmwtIRx2FYFqOeqFfGYu0vKSSY4iTB0BlEpLYCEew%3d
1,15,7,15,14,3,Drag'n Thrust,15,13,Public Enemy,24,/teams/events/match_report/?EventGameId=huSmwtIRx2FYFqOeqFfGYu0vKSSY4iTB0BlEpLYCEew%3d
0,14,7,14,8,8,Mischief,15,1,Seattle Mixtape,8,/teams/events/match_report/?EventGameId=pVUppk%2bGf0H3Ev%2bEYx6QHFLjaO4UXUW0iAoZWkm9RZQ%3d
1,8,8,7,15,1,Seattle Mixtape,8,8,Mischief,14,/teams/events/match_report/?EventGameId=pVUppk%2bGf0H3Ev%2bEYx6QHFLjaO4UXUW0iAoZWkm9RZQ%3d
0,15,10,14,9,10,shame.,15,14,Metro North,8,/teams/events/match_report/?EventGameId=oY%2fdQGRN2TgKvw51GDabvPH71Z96CJJ9j1QB0zxY8MM%3d
1,9,6,9,15,14,Metro North,9,10,shame.,23,/teams/events/match_report/?EventGameId=oY%2fdQGRN2TgKvw51GDabvPH71Z96CJJ9j1QB0zxY8MM%3d
0,14,3,14,10,12,NOISE,15,1,Seattle Mixtape,10,/teams/events/match_report/?EventGameId=X6qLstuMx%2fWr0DO%2flEPPCEK6a%2bhz33661RUqzJc1uzI%3d
1,9,4,9,15,1,Seattle Mixtape,10,12,NOISE,12,/teams/events/match_report/?EventGameId=X6qLstuMx%2fWr0DO%2flEPPCEK6a%2bhz33661RUqzJc1uzI%3d
0,12,5,12,15,7,Blackbird,12,15,Love Tractor,13,/teams/events/match_report/?EventGameId=DJYLrLt18U1vxzXS3DbCp9UMlhcxnXN1Qg1PgQ7NAdA%3d
1,15,6,14,12,15,Love Tractor,15,7,Blackbird,11,/teams/events/match_report/?EventGameId=DJYLrLt18U1vxzXS3DbCp9UMlhcxnXN1Qg1PgQ7NAdA%3d
0,12,7,12,9,6,Wild Card,12,3,Drag'n Thrust,17,/teams/events/match_report/?EventGameId=BbjJvj0wJBgs39V5lYQofBChAfPWkBOCWpE37TKQSgg%3d
1,9,7,9,12,3,Drag'n Thrust,9,6,Wild Card,13,/teams/events/match_report/?EventGameId=BbjJvj0wJBgs39V5lYQofBChAfPWkBOCWpE37TKQSgg%3d
0,11,12,12,12,6,Wild Card,13,1,Seattle Mixtape,12,/teams/events/match_report/?EventGameId=BvJnN7hNmvP%2f%2bkhQBor%2fhIXmq1wnQJNKx0DL%2bhp0bvA%3d
1,12,8,12,13,1,Seattle Mixtape,12,6,Wild Card,6,/teams/events/match_report/?EventGameId=BvJnN7hNmvP%2f%2bkhQBor%2fhIXmq1wnQJNKx0DL%2bhp0bvA%3d
0,12,9,12,14,7,Blackbird,11,11,Toro,21,/teams/events/match_report/?EventGameId=s%2bNaJ7DYSR6Fi%2bLi40tReM9DIwZly7h2oIYraQ4OmOs%3d
1,14,7,14,11,11,Toro,14,7,Blackbird,13,/teams/events/match_report/?EventGameId=s%2bNaJ7DYSR6Fi%2bLi40tReM9DIwZly7h2oIYraQ4OmOs%3d
