,As,Ds,Gs,Opp Score,Opp Seed,Opponent,Score,Seed,Team,Ts,url
0,15,10,14,14,11,Nemesis,15,1,Seattle Riot,16,/teams/events/match_report/?EventGameId=JW7lPuaqffkD4%2f4XwjLOOT9F7sfr6Ma8qSW065mqknQ%3d
1,14,4,14,15,1,Seattle Riot,14,11,Nemesis,18,/teams/events/match_report/?EventGameId=JW7lPuaqffkD4%2f4XwjLOOT9F7sfr6Ma8qSW065mqknQ%3d
0,15,3,15,16,4,Brute Squad,15,2,Revolution,6,/teams/events/match_report/?EventGameId=WPC8QbQ95%2b4qhb7%2bNO4k6eR8JYJL23ZF%2b%2bZ70PAVn%2fE%3d
1,16,4,16,15,2,Revolution,16,4,Brute Squad,8,/teams/events/match_report/?EventGameId=WPC8QbQ95%2b4qhb7%2bNO4k6eR8JYJL23ZF%2b%2bZ70PAVn%2fE%3d
0,15,6,15,11,10,HUCK,15,4,Brute Squad,9,/teams/events/match_report/?EventGameId=GlxWK8cadUjstZtWAARmBtJ3t4BQ1NGnVyz3vRrfRvo%3d
1,11,3,11,15,4,Brute Squad,11,10,HUCK,12,/teams/events/match_report/?EventGameId=GlxWK8cadUjstZtWAARmBtJ3t4BQ1NGnVyz3vRrfRvo%3d
0,15,6,15,17,9,German National Team,15,11,Nemesis,17,/teams/events/match_report/?EventGameId=QH7UDn%2fCngSXbGYQtidU66TAD1r9qyeSpaTEe7s8iRA%3d
1,13,9,17,15,11,Nemesis,17,9,German National Team,12,/teams/events/match_report/?EventGameId=QH7UDn%2fCngSXbGYQtidU66TAD1r9qyeSpaTEe7s8iRA%3d
0,13,10,13,10,9,German National Team,14,6,Molly Brown,19,/teams/events/match_report/?EventGameId=Dj1B8cS6P7EvBguyS3vpqcu%2fihjCBocRLPpV6uJpvTk%3d
1,10,5,10,14,6,Molly Brown,10,9,German National Team,26,/teams/events/match_report/?EventGameId=Dj1B8cS6P7EvBguyS3vpqcu%2fihjCBocRLPpV6uJpvTk%3d
0,15,3,15,12,9,German National Team,15,4,Brute Squad,11,/teams/events/match_report/?EventGameId=ezTqffiTj2z3hGguHyLqejigRHHiQoM1O6oidd4P08s%3d
1,12,1,12,15,4,Brute Squad,12,9,German National Team,14,/teams/events/match_report/?EventGameId=ezTqffiTj2z3hGguHyLqejigRHHiQoM1O6oidd4P08s%3d
