,No.,Name,Position,Height,Points,Assists,Ds,Turns,url,Team,Seed,UpperName
10,10,Benjamin Gagne-Maynard,Defense (Cutter),"6'3""",,4.0,1.0,1.0,/events/teams/?EventTeamId=nngdfLCBJIqxYsMxehjRvaYpCVgJvLk70Mz4AZoBW68%3d,Freaks,12,BENJAMIN GAGNE-MAYNARD
11,11,Elijah Jaime,Defense (Cutter),"5'11""",18.0,4.0,,2.0,/events/teams/?EventTeamId=nngdfLCBJIqxYsMxehjRvaYpCVgJvLk70Mz4AZoBW68%3d,Freaks,12,ELIJAH JAIME
12,12,Philip Throckmorton,,"6'0""",,1.0,,3.0,/events/teams/?EventTeamId=nngdfLCBJIqxYsMxehjRvaYpCVgJvLk70Mz4AZoBW68%3d,Freaks,12,PHILIP THROCKMORTON
13,13,Carter Rae,Handler,"6'0""",6.0,7.0,,4.0,/events/teams/?EventTeamId=nngdfLCBJIqxYsMxehjRvaYpCVgJvLk70Mz4AZoBW68%3d,Freaks,12,CARTER RAE
14,17,Nick Peppers,Defense (Handler),"6'0""",2.0,,,,/events/teams/?EventTeamId=nngdfLCBJIqxYsMxehjRvaYpCVgJvLk70Mz4AZoBW68%3d,Freaks,12,NICK PEPPERS
15,18,Jacob Flowers,Handler/Cutter,"6'9""",4.0,7.0,,1.0,/events/teams/?EventTeamId=nngdfLCBJIqxYsMxehjRvaYpCVgJvLk70Mz4AZoBW68%3d,Freaks,12,JACOB FLOWERS
16,21,Devon Rogers,,"6'6""",4.0,,4.0,2.0,/events/teams/?EventTeamId=nngdfLCBJIqxYsMxehjRvaYpCVgJvLk70Mz4AZoBW68%3d,Freaks,12,DEVON ROGERS
17,22,Nicholas Button,Defense (Cutter),"5'10""",3.0,1.0,,2.0,/events/teams/?EventTeamId=nngdfLCBJIqxYsMxehjRvaYpCVgJvLk70Mz4AZoBW68%3d,Freaks,12,NICHOLAS BUTTON
18,23,Alejandro Guerrero,,"5'11""",1.0,,1.0,,/events/teams/?EventTeamId=nngdfLCBJIqxYsMxehjRvaYpCVgJvLk70Mz4AZoBW68%3d,Freaks,12,ALEJANDRO GUERRERO
19,27,Jordan Hill,,"10'11""",1.0,,2.0,,/events/teams/?EventTeamId=nngdfLCBJIqxYsMxehjRvaYpCVgJvLk70Mz4AZoBW68%3d,Freaks,12,JORDAN HILL
20,33,JT Taylor,Defense (Handler),"6'1""",2.0,,,1.0,/events/teams/?EventTeamId=nngdfLCBJIqxYsMxehjRvaYpCVgJvLk70Mz4AZoBW68%3d,Freaks,12,JT TAYLOR
21,37,Michael Strobel,Handler,"4'10""",,6.0,,5.0,/events/teams/?EventTeamId=nngdfLCBJIqxYsMxehjRvaYpCVgJvLk70Mz4AZoBW68%3d,Freaks,12,MICHAEL STROBEL
22,42,Tim Hoggard,Defense (Cutter/Handler),"5'11""",,,1.0,1.0,/events/teams/?EventTeamId=nngdfLCBJIqxYsMxehjRvaYpCVgJvLk70Mz4AZoBW68%3d,Freaks,12,TIM HOGGARD
23,55,Tom Radcliffe,Handler/Cutter,"6'3""",4.0,2.0,,,/events/teams/?EventTeamId=nngdfLCBJIqxYsMxehjRvaYpCVgJvLk70Mz4AZoBW68%3d,Freaks,12,TOM RADCLIFFE
24,77,Anthony Cain,,"3'0""",,1.0,,,/events/teams/?EventTeamId=nngdfLCBJIqxYsMxehjRvaYpCVgJvLk70Mz4AZoBW68%3d,Freaks,12,ANTHONY CAIN
25,87,Tannon Hedges,Defense (Cutter),,3.0,3.0,2.0,,/events/teams/?EventTeamId=nngdfLCBJIqxYsMxehjRvaYpCVgJvLk70Mz4AZoBW68%3d,Freaks,12,TANNON HEDGES
26,96,Mark Ullom,Mid,"5'9""",2.0,5.0,,,/events/teams/?EventTeamId=nngdfLCBJIqxYsMxehjRvaYpCVgJvLk70Mz4AZoBW68%3d,Freaks,12,MARK ULLOM
0,1,Shinya Kikuchi,Handler,,,9.0,,5.0,/events/teams/?EventTeamId=yXqkehI3aHLTTK8WcazXxVj7ZyTCxt6uGzd7Y%2f%2fqvIY%3d,Bunka Shutter Buzz Bullets,6,SHINYA KIKUCHI
1,3,Yasuo Takahashi,Handler,,3.0,,,1.0,/events/teams/?EventTeamId=yXqkehI3aHLTTK8WcazXxVj7ZyTCxt6uGzd7Y%2f%2fqvIY%3d,Bunka Shutter Buzz Bullets,6,YASUO TAKAHASHI
2,4,Kenta Kawamata,Handler,,,,2.0,,/events/teams/?EventTeamId=yXqkehI3aHLTTK8WcazXxVj7ZyTCxt6uGzd7Y%2f%2fqvIY%3d,Bunka Shutter Buzz Bullets,6,KENTA KAWAMATA
3,5,Raito Nose,Handler,,,1.0,,,/events/teams/?EventTeamId=yXqkehI3aHLTTK8WcazXxVj7ZyTCxt6uGzd7Y%2f%2fqvIY%3d,Bunka Shutter Buzz Bullets,6,RAITO NOSE
4,6,Masashi Kurono,Mid,,10.0,10.0,4.0,5.0,/events/teams/?EventTeamId=yXqkehI3aHLTTK8WcazXxVj7ZyTCxt6uGzd7Y%2f%2fqvIY%3d,Bunka Shutter Buzz Bullets,6,MASASHI KURONO
