,As,Ds,Gs,Opp Score,Opp Seed,Opponent,Score,Seed,Team,Ts,url
1,12,1,12,15,2,Seattle Mixtape,12,12,Voltaje U.C,8,/teams/events/match_report/?EventGameId=NFkXhvfEntmrZ0Xeio9r9RPtwPEgOYzxWxJQJ45ZGMM%3d
0,14,6,15,15,6,Ellipsis,16,1,AMP,5,/teams/events/match_report/?EventGameId=ftMEgiOlhdsbMl874J2qPJp8Wks1ZqOgOLSj95SVy9w%3d
1,14,6,15,16,1,AMP,15,6,Ellipsis,8,/teams/events/match_report/?EventGameId=ftMEgiOlhdsbMl874J2qPJp8Wks1ZqOgOLSj95SVy9w%3d
0,9,4,9,15,4,Snake Country,9,6,Ellipsis,14,/teams/events/match_report/?EventGameId=kMwum1hdegag3Q3DZDwhsdl1dnxWUO7xKc4E%2b%2fn7m2E%3d
1,11,3,14,9,6,Ellipsis,15,4,Snake Country,8,/teams/events/match_report/?EventGameId=kMwum1hdegag3Q3DZDwhsdl1dnxWUO7xKc4E%2b%2fn7m2E%3d
0,14,6,15,6,10,CRAZY,15,5,Drag'n Thrust,5,/teams/events/match_report/?EventGameId=4VTvujEQcpsWkzQmP7W6dtuwF9ouqaKrILUU7dX57PE%3d
1,6,3,6,15,5,Drag'n Thrust,6,10,CRAZY,11,/teams/events/match_report/?EventGameId=4VTvujEQcpsWkzQmP7W6dtuwF9ouqaKrILUU7dX57PE%3d
0,14,3,15,12,11,Chaos,15,8,Blackbird,10,/teams/events/match_report/?EventGameId=%2buvt1ACHEpO0Bu0N4RxJXvUU5Ak8TbgvlLq04JTfNfQ%3d
1,11,5,11,15,8,Blackbird,12,11,Chaos,11,/teams/events/match_report/?EventGameId=%2buvt1ACHEpO0Bu0N4RxJXvUU5Ak8TbgvlLq04JTfNfQ%3d
0,14,2,14,10,12,Voltaje U.C,14,4,Snake Country,4,/teams/events/match_report/?EventGameId=BL8EbO158RR3NpMnYqySQYPM1yOCtgEsVCGxVof5dLU%3d
1,10,2,10,14,4,Snake Country,10,12,Voltaje U.C,8,/teams/events/match_report/?EventGameId=BL8EbO158RR3NpMnYqySQYPM1yOCtgEsVCGxVof5dLU%3d
0,13,7,12,15,12,Voltaje U.C,13,10,CRAZY,13,/teams/events/match_report/?EventGameId=Z2v09YCPwPzjpAOaEytjZNTP9REqYxdgYV7oY4nOg3U%3d
1,15,7,15,13,10,CRAZY,15,12,Voltaje U.C,11,/teams/events/match_report/?EventGameId=Z2v09YCPwPzjpAOaEytjZNTP9REqYxdgYV7oY4nOg3U%3d
0,15,7,15,12,11,Chaos,15,9,BFG,9,/teams/events/match_report/?EventGameId=l1AkocyArM13n5pCGFxzcNdN2j8ui0YuXv0jziRzx4Y%3d
1,11,2,8,15,9,BFG,12,11,Chaos,6,/teams/events/match_report/?EventGameId=l1AkocyArM13n5pCGFxzcNdN2j8ui0YuXv0jziRzx4Y%3d
0,15,6,15,6,11,Chaos,15,1,AMP,4,/teams/events/match_report/?EventGameId=YKqcuTP%2feggefUJM43Xwl51nsJpeRqHWIFeUFO0Di58%3d
1,6,0,4,15,1,AMP,6,11,Chaos,9,/teams/events/match_report/?EventGameId=YKqcuTP%2feggefUJM43Xwl51nsJpeRqHWIFeUFO0Di58%3d
0,10,4,10,13,4,Snake Country,10,7,Mischief,12,/teams/events/match_report/?EventGameId=plOgTR1W2FBUuLLO%2f4jGiUgNhDy21kLP5vdsqTY8gEM%3d
