,As,Ds,Gs,Opp Score,Opp Seed,Opponent,Score,Seed,Team,Ts,url
1,13,1,13,15,16,Rhino Slam!,13,9,Doublewide,10,/teams/events/match_report/?EventGameId=d38ZdsYcQ%2faBfTpXJ%2bBQJVY6pwAVROs%2bFuId3nQCYEk%3d
0,15,4,15,12,14,Johnny Bravo,15,7,Sub Zero,15,/teams/events/match_report/?EventGameId=mtwyVdBU1Gqjlp%2bbV9QA%2fbsLefKaGdvGsaOY4u8jPH4%3d
1,12,7,12,15,7,Sub Zero,12,14,Johnny Bravo,17,/teams/events/match_report/?EventGameId=mtwyVdBU1Gqjlp%2bbV9QA%2fbsLefKaGdvGsaOY4u8jPH4%3d
0,15,6,15,13,5,Revolver,15,6,Chicago Machine,10,/teams/events/match_report/?EventGameId=hJTg3BjT%2bz81ULHOa%2b%2boUzjyrw7IP1q8sVrt7SJQmoU%3d
1,13,3,13,15,6,Chicago Machine,13,5,Revolver,11,/teams/events/match_report/?EventGameId=hJTg3BjT%2bz81ULHOa%2b%2boUzjyrw7IP1q8sVrt7SJQmoU%3d
0,15,6,15,14,9,Doublewide,15,5,Revolver,15,/teams/events/match_report/?EventGameId=A9yZcXXBOT9Z7m3Q2iC7bPGBDO1t2lgmoV%2b0dVjCMsA%3d
1,14,10,14,15,5,Revolver,14,9,Doublewide,16,/teams/events/match_report/?EventGameId=A9yZcXXBOT9Z7m3Q2iC7bPGBDO1t2lgmoV%2b0dVjCMsA%3d
0,15,5,15,13,11,Pittsburgh Temper,15,12,SoCal Condors,10,/teams/events/match_report/?EventGameId=cYldVkggThHv3MLa5Z1hA1Z7o%2bZWwzG6i8q02si4WkA%3d
1,13,5,13,15,12,SoCal Condors,13,11,Pittsburgh Temper,11,/teams/events/match_report/?EventGameId=cYldVkggThHv3MLa5Z1hA1Z7o%2bZWwzG6i8q02si4WkA%3d
0,15,6,15,13,12,SoCal Condors,15,5,Revolver,11,/teams/events/match_report/?EventGameId=7w2eDJhRJIk5qLF5z8FrSVz%2ffQfWOcE17Fe6fK8yF3A%3d
1,13,4,13,15,5,Revolver,13,12,SoCal Condors,11,/teams/events/match_report/?EventGameId=7w2eDJhRJIk5qLF5z8FrSVz%2ffQfWOcE17Fe6fK8yF3A%3d
0,14,4,14,15,9,Doublewide,14,8,DiG,10,/teams/events/match_report/?EventGameId=56%2bdGGDi1AutSua4jeYnNfrSc%2fYU%2bCRF5%2bnEyQQ98TM%3d
1,15,1,15,14,8,DiG,15,9,Doublewide,8,/teams/events/match_report/?EventGameId=56%2bdGGDi1AutSua4jeYnNfrSc%2fYU%2bCRF5%2bnEyQQ98TM%3d
0,15,4,15,6,14,Johnny Bravo,14,2,PoNY,7,/teams/events/match_report/?EventGameId=X3FBLNeUemGpr60x7EYzDVvkUeOZieTGUfNqLhewK2Q%3d
1,6,3,6,14,2,PoNY,6,14,Johnny Bravo,15,/teams/events/match_report/?EventGameId=X3FBLNeUemGpr60x7EYzDVvkUeOZieTGUfNqLhewK2Q%3d
0,14,7,15,12,14,Johnny Bravo,15,11,Pittsburgh Temper,13,/teams/events/match_report/?EventGameId=Aqh%2fVhsY%2bIpAKEj%2fNS2jjITnjfWTVt2x2RusbVQbkKk%3d
1,12,3,12,15,11,Pittsburgh Temper,12,14,Johnny Bravo,14,/teams/events/match_report/?EventGameId=Aqh%2fVhsY%2bIpAKEj%2fNS2jjITnjfWTVt2x2RusbVQbkKk%3d
0,15,6,15,6,10,GOAT,15,6,Chicago Machine,8,/teams/events/match_report/?EventGameId=07RlsdaJqZFVu9A3yzEfBNlR9M3WUmq3yPUl2v2lNSM%3d
1,6,6,6,15,6,Chicago Machine,6,10,GOAT,15,/teams/events/match_report/?EventGameId=07RlsdaJqZFVu9A3yzEfBNlR9M3WUmq3yPUl2v2lNSM%3d
0,15,2,15,10,12,SoCal Condors,15,1,Sockeye,4,/teams/events/match_report/?EventGameId=3hs5ujsctprlTJCac%2bhMUowzWJY6lVT%2fOm6C39JPRNI%3d
1,10,0,10,15,1,Sockeye,10,12,SoCal Condors,9,/teams/events/match_report/?EventGameId=3hs5ujsctprlTJCac%2bhMUowzWJY6lVT%2fOm6C39JPRNI%3d
0,10,7,10,15,15,Chain Lightning,10,9,Doublewide,14,/teams/events/match_report/?EventGameId=L7t8Tas0wOU55Gqmp%2fgpfSTPIhhQfLylvQls7abWgZE%3d
1,15,6,15,10,9,Doublewide,15,15,Chain Lightning,10,/teams/events/match_report/?EventGameId=L7t8Tas0wOU55Gqmp%2fgpfSTPIhhQfLylvQls7abWgZE%3d
0,14,3,14,13,7,Sub Zero,14,2,PoNY,7,/teams/events/match_report/?EventGameId=snd31pESN0cjKJXxNNO6%2fFA3tl5gu0d44MPoc5b2Vso%3d
1,13,4,13,14,2,PoNY,13,7,Sub Zero,7,/teams/events/match_report/?EventGameId=snd31pESN0cjKJXxNNO6%2fFA3tl5gu0d44MPoc5b2Vso%3d
