,As,Ds,Gs,Opp Score,Opponent,Score,Team,Ts,url
109,12,18,12,7,Williams,12,Puget Sound,28,/teams/events/match_report/?EventGameId=nYoNKsTYYUHeUXQmADT3Vr8ZYmi8dynR39Q32kusltg%3d
110,8,7,7,14,Portland,8,Truman State,30,/teams/events/match_report/?EventGameId=JFVozczya4Rhi33wtEjFc2dEn9xiIElNeH288V2N6IM%3d
111,12,6,12,8,Truman State,14,Portland,23,/teams/events/match_report/?EventGameId=JFVozczya4Rhi33wtEjFc2dEn9xiIElNeH288V2N6IM%3d
112,4,7,4,14,Williams,4,St Olaf,37,/teams/events/match_report/?EventGameId=%2fBDFGdkaaSJDXhV%2fu%2buXNRQJmbpEkj53qCOqS24yVTA%3d
113,13,19,14,4,St Olaf,14,Williams,28,/teams/events/match_report/?EventGameId=%2fBDFGdkaaSJDXhV%2fu%2buXNRQJmbpEkj53qCOqS24yVTA%3d
114,0,0,0,11,Bowdoin,5,Bates,0,/teams/events/match_report/?EventGameId=3l1dPV%2bsfU9gOtDnK28u%2bIgiQbhx%2fqziBEqQpRCE80Y%3d
115,0,0,0,5,Bates,11,Bowdoin,0,/teams/events/match_report/?EventGameId=3l1dPV%2bsfU9gOtDnK28u%2bIgiQbhx%2fqziBEqQpRCE80Y%3d
116,7,10,7,13,Bates,7,Georgia College,36,/teams/events/match_report/?EventGameId=CivIFc4yG6HsPTB%2fcweOmW9T9up4YIXk9%2f6MSnaZuII%3d
117,13,9,13,7,Georgia College,13,Bates,31,/teams/events/match_report/?EventGameId=CivIFc4yG6HsPTB%2fcweOmW9T9up4YIXk9%2f6MSnaZuII%3d
118,9,11,9,6,Mount Holyoke,11,Bowdoin,17,/teams/events/match_report/?EventGameId=nrsYwrmKO%2flb%2fnNLlCFOT6Nd0HNzxXxzzxaDWvYlLoM%3d
119,5,7,5,11,Bowdoin,6,Mount Holyoke,18,/teams/events/match_report/?EventGameId=nrsYwrmKO%2flb%2fnNLlCFOT6Nd0HNzxXxzzxaDWvYlLoM%3d
120,10,17,10,7,Catholic,10,Haverford,52,/teams/events/match_report/?EventGameId=P1knh3rLJBNMAXvGpm9qYR%2frwqyDHcwD5bYOWlHSLXs%3d
121,7,17,7,10,Haverford,7,Catholic,56,/teams/events/match_report/?EventGameId=P1knh3rLJBNMAXvGpm9qYR%2frwqyDHcwD5bYOWlHSLXs%3d
122,12,18,11,5,Claremont,12,Haverford,30,/teams/events/match_report/?EventGameId=NyVAKKgykMmaHojVCqlqTo8zKCKXH%2bgAwIWMOxH2tWY%3d
123,5,15,4,12,Haverford,5,Claremont,25,/teams/events/match_report/?EventGameId=NyVAKKgykMmaHojVCqlqTo8zKCKXH%2bgAwIWMOxH2tWY%3d
124,9,12,9,8,Lehigh,9,Catholic,38,/teams/events/match_report/?EventGameId=XV3Upd4Z9afGg6ag3GPYl3AhEnRxTAf%2bR2ylxegK8ik%3d
125,8,16,8,9,Catholic,8,Lehigh,37,/teams/events/match_report/?EventGameId=XV3Upd4Z9afGg6ag3GPYl3AhEnRxTAf%2bR2ylxegK8ik%3d
126,0,0,0,5,Claremont,8,Lehigh,0,/teams/events/match_report/?EventGameId=2N8aJfpxC71jBnhJ%2f5aqlCSJ2Zr7MoBS3d5Sub24LSo%3d
127,0,0,0,8,Lehigh,5,Claremont,0,/teams/events/match_report/?EventGameId=2N8aJfpxC71jBnhJ%2f5aqlCSJ2Zr7MoBS3d5Sub24LSo%3d
128,0,0,0,7,Mount Holyoke,10,Georgia College,0,/teams/events/match_report/?EventGameId=7NpcobIqOeTPwcn%2bSCPoSrd78%2fUjKXDSy%2fC5wDa54Tc%3d
129,0,0,0,10,Georgia College,7,Mount Holyoke,0,/teams/events/match_report/?EventGameId=7NpcobIqOeTPwcn%2bSCPoSrd78%2fUjKXDSy%2fC5wDa54Tc%3d
