,As,Ds,Gs,Opp Score,Opp Seed,Opponent,Score,Seed,Team,Ts,url
1,0,0,0,12,6,Molly Brown,11,5,6ixers,0,/teams/events/match_report/?EventGameId=SYXN%2bEHXpZFR1VuRJaXCy363ElcYJDLO9rMw1fBdNIs%3d
0,0,0,0,12,9,Rival,11,10,Nightlock,0,/teams/events/match_report/?EventGameId=VjsU5zvAD9lfO9wEWxjYFBvJeoHGrFNlurgTaGoxeUg%3d
1,0,0,0,11,10,Nightlock,12,9,Rival,0,/teams/events/match_report/?EventGameId=VjsU5zvAD9lfO9wEWxjYFBvJeoHGrFNlurgTaGoxeUg%3d
0,0,0,0,8,8,Schwa,11,10,Nightlock,0,/teams/events/match_report/?EventGameId=3RD28vmCknYRLIxUlqiGWXnurSHURRUF4SkRprJWttc%3d
1,0,0,0,11,10,Nightlock,8,8,Schwa,0,/teams/events/match_report/?EventGameId=3RD28vmCknYRLIxUlqiGWXnurSHURRUF4SkRprJWttc%3d
0,4,0,5,14,7,Phoenix,6,9,Rival,0,/teams/events/match_report/?EventGameId=arj2OJ61Ewm0dEUYLhHp7fEL0%2fXQ%2fOwoJGlH431rMhU%3d
1,0,0,0,6,9,Rival,14,7,Phoenix,0,/teams/events/match_report/?EventGameId=arj2OJ61Ewm0dEUYLhHp7fEL0%2fXQ%2fOwoJGlH431rMhU%3d
0,8,4,5,10,2,Brute Squad,13,1,Seattle Riot,5,/teams/events/match_report/?EventGameId=SzdwHQfsjeos6Le26tDl8qq56whOUlQRl5NcLhwwZkQ%3d
1,7,1,7,13,1,Seattle Riot,10,2,Brute Squad,4,/teams/events/match_report/?EventGameId=SzdwHQfsjeos6Le26tDl8qq56whOUlQRl5NcLhwwZkQ%3d
0,9,5,10,7,10,Nightlock,15,2,Brute Squad,4,/teams/events/match_report/?EventGameId=vd1OYsfXHcWPcEJ5ajVWu33zosV2baaD6Dc3KPvLea4%3d
1,7,0,3,15,2,Brute Squad,7,10,Nightlock,4,/teams/events/match_report/?EventGameId=vd1OYsfXHcWPcEJ5ajVWu33zosV2baaD6Dc3KPvLea4%3d
0,4,1,7,13,6,Molly Brown,10,1,Seattle Riot,6,/teams/events/match_report/?EventGameId=Ne4Fibhkzq5WJEY1JTpIsxKBlLVmHDEi27iV8rVfr9w%3d
1,10,4,2,10,1,Seattle Riot,13,6,Molly Brown,8,/teams/events/match_report/?EventGameId=Ne4Fibhkzq5WJEY1JTpIsxKBlLVmHDEi27iV8rVfr9w%3d
0,2,1,3,11,7,Phoenix,8,5,6ixers,8,/teams/events/match_report/?EventGameId=lmDVhdZYfEayARx%2bHL%2fiQqsqRwVr6D%2baj3EWEaVNaRk%3d
1,6,4,5,8,5,6ixers,11,7,Phoenix,3,/teams/events/match_report/?EventGameId=lmDVhdZYfEayARx%2bHL%2fiQqsqRwVr6D%2baj3EWEaVNaRk%3d
0,10,0,5,10,8,Schwa,15,6,Molly Brown,5,/teams/events/match_report/?EventGameId=jnyaQT9V%2fMrLYICG4vynalrioL7ra2Y5gEWf%2bwx0Dvs%3d
1,9,1,9,15,6,Molly Brown,10,8,Schwa,9,/teams/events/match_report/?EventGameId=jnyaQT9V%2fMrLYICG4vynalrioL7ra2Y5gEWf%2bwx0Dvs%3d
