,No.,Name,Position,Height,Points,Assists,Ds,Turns,url,Team,Seed,UpperName
19,30,Matthew Russell,,,1.0,4.0,1.0,1.0,/events/teams/?EventTeamId=3VTuyn4K0uEO5wKkRo2a%2byPRB8glo6bXKUz9I12KYGs%3d,Sockeye,1,MATTHEW RUSSELL
20,31,Matthew Rehder,,,11.0,4.0,,,/events/teams/?EventTeamId=3VTuyn4K0uEO5wKkRo2a%2byPRB8glo6bXKUz9I12KYGs%3d,Sockeye,1,MATTHEW REHDER
21,34,John Randolph,Defense (Cutter),"6'0""",4.0,1.0,,,/events/teams/?EventTeamId=3VTuyn4K0uEO5wKkRo2a%2byPRB8glo6bXKUz9I12KYGs%3d,Sockeye,1,JOHN RANDOLPH
22,70,Julian Hausman,,,,,,1.0,/events/teams/?EventTeamId=3VTuyn4K0uEO5wKkRo2a%2byPRB8glo6bXKUz9I12KYGs%3d,Sockeye,1,JULIAN HAUSMAN
23,77,Ben Snell,,,2.0,6.0,2.0,,/events/teams/?EventTeamId=3VTuyn4K0uEO5wKkRo2a%2byPRB8glo6bXKUz9I12KYGs%3d,Sockeye,1,BEN SNELL
24,87,Chris Kosednar,,,1.0,4.0,,4.0,/events/teams/?EventTeamId=3VTuyn4K0uEO5wKkRo2a%2byPRB8glo6bXKUz9I12KYGs%3d,Sockeye,1,CHRIS KOSEDNAR
25,89,Milan Ravenell,,"6'2""",,,,,/events/teams/?EventTeamId=3VTuyn4K0uEO5wKkRo2a%2byPRB8glo6bXKUz9I12KYGs%3d,Sockeye,1,MILAN RAVENELL
26,90,Shane Worthington,,,,,,,/events/teams/?EventTeamId=3VTuyn4K0uEO5wKkRo2a%2byPRB8glo6bXKUz9I12KYGs%3d,Sockeye,1,SHANE WORTHINGTON
0,2,Ryan Dinger,,"6'2""",10.0,1.0,1.0,2.0,/events/teams/?EventTeamId=kWzNNcpBmG5PTUdHwKI61mo7M4GwqaWHx2NA3%2bibyrY%3d,DiG,8,RYAN DINGER
1,3,Gabriel Colton,,,2.0,5.0,3.0,2.0,/events/teams/?EventTeamId=kWzNNcpBmG5PTUdHwKI61mo7M4GwqaWHx2NA3%2bibyrY%3d,DiG,8,GABRIEL COLTON
2,4,Tanner Halkyard,Cutter,"6'3""",11.0,3.0,,2.0,/events/teams/?EventTeamId=kWzNNcpBmG5PTUdHwKI61mo7M4GwqaWHx2NA3%2bibyrY%3d,DiG,8,TANNER HALKYARD
3,5,Noah Backer,Handler,"6'0""",3.0,6.0,2.0,3.0,/events/teams/?EventTeamId=kWzNNcpBmG5PTUdHwKI61mo7M4GwqaWHx2NA3%2bibyrY%3d,DiG,8,NOAH BACKER
