,No.,Name,UpperName,Gs,Goals,As,Assists,Ds,Ts,Turns,url,Team,Seed,Score,Opp Team,Opp Seed,Opp Score
13,28,Stephanie Pritchard,STEPHANIE PRITCHARD,1,1,0,0,0,0,0,/teams/events/match_report/?EventGameId=hqsNsv7Rt3iLMfYWmD1w%2b01JBD33juTeA%2bF1a%2f4cYKQ%3d,Molly Brown,6,15,German National Team,9,10
14,33,Bert Abbott,BERT ABBOTT,0,0,1,1,0,1,1,/teams/events/match_report/?EventGameId=hqsNsv7Rt3iLMfYWmD1w%2b01JBD33juTeA%2bF1a%2f4cYKQ%3d,Molly Brown,6,15,German National Team,9,10
15,40,Chip Chang,CHIP CHANG,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=hqsNsv7Rt3iLMfYWmD1w%2b01JBD33juTeA%2bF1a%2f4cYKQ%3d,Molly Brown,6,15,German National Team,9,10
16,44,Stacy Gaskill,STACY GASKILL,0,0,0,0,0,1,1,/teams/events/match_report/?EventGameId=hqsNsv7Rt3iLMfYWmD1w%2b01JBD33juTeA%2bF1a%2f4cYKQ%3d,Molly Brown,6,15,German National Team,9,10
17,52,Claire Chastain,CLAIRE CHASTAIN,1,1,1,1,1,3,3,/teams/events/match_report/?EventGameId=hqsNsv7Rt3iLMfYWmD1w%2b01JBD33juTeA%2bF1a%2f4cYKQ%3d,Molly Brown,6,15,German National Team,9,10
18,55,Rachel Wilmoth,RACHEL WILMOTH,1,1,0,0,2,0,0,/teams/events/match_report/?EventGameId=hqsNsv7Rt3iLMfYWmD1w%2b01JBD33juTeA%2bF1a%2f4cYKQ%3d,Molly Brown,6,15,German National Team,9,10
19,65,Megan Ives,MEGAN IVES,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=hqsNsv7Rt3iLMfYWmD1w%2b01JBD33juTeA%2bF1a%2f4cYKQ%3d,Molly Brown,6,15,German National Team,9,10
20,88,Veronica Eder,VERONICA EDER,0,0,1,1,0,1,1,/teams/events/match_report/?EventGameId=hqsNsv7Rt3iLMfYWmD1w%2b01JBD33juTeA%2bF1a%2f4cYKQ%3d,Molly Brown,6,15,German National Team,9,10
0,3,Sophie Flammer,SOPHIE FLAMMER,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=hqsNsv7Rt3iLMfYWmD1w%2b01JBD33juTeA%2bF1a%2f4cYKQ%3d,German National Team,9,10,Molly Brown,6,15
1,4,Caroline Tisson,CAROLINE TISSON,2,2,3,3,1,1,1,/teams/events/match_report/?EventGameId=hqsNsv7Rt3iLMfYWmD1w%2b01JBD33juTeA%2bF1a%2f4cYKQ%3d,German National Team,9,10,Molly Brown,6,15
2,5,Vera Forsch,VERA FORSCH,1,1,1,1,1,1,1,/teams/events/match_report/?EventGameId=hqsNsv7Rt3iLMfYWmD1w%2b01JBD33juTeA%2bF1a%2f4cYKQ%3d,German National Team,9,10,Molly Brown,6,15
3,7,Katharina Schulze,KATHARINA SCHULZE,1,1,1,1,0,1,1,/teams/events/match_report/?EventGameId=hqsNsv7Rt3iLMfYWmD1w%2b01JBD33juTeA%2bF1a%2f4cYKQ%3d,German National Team,9,10,Molly Brown,6,15
4,8,Sabine Mannherz,SABINE MANNHERZ,1,1,0,0,0,1,1,/teams/events/match_report/?EventGameId=hqsNsv7Rt3iLMfYWmD1w%2b01JBD33juTeA%2bF1a%2f4cYKQ%3d,German National Team,9,10,Molly Brown,6,15
5,11,Natalia Mashianova,NATALIA MASHIANOVA,0,0,2,2,0,1,1,/teams/events/match_report/?EventGameId=hqsNsv7Rt3iLMfYWmD1w%2b01JBD33juTeA%2bF1a%2f4cYKQ%3d,German National Team,9,10,Molly Brown,6,15
6,12,Mareike Sach,MAREIKE SACH,0,0,0,0,0,1,1,/teams/events/match_report/?EventGameId=hqsNsv7Rt3iLMfYWmD1w%2b01JBD33juTeA%2bF1a%2f4cYKQ%3d,German National Team,9,10,Molly Brown,6,15
7,14,Simona Lieberth,SIMONA LIEBERTH,1,1,0,0,0,0,0,/teams/events/match_report/?EventGameId=hqsNsv7Rt3iLMfYWmD1w%2b01JBD33juTeA%2bF1a%2f4cYKQ%3d,German National Team,9,10,Molly Brown,6,15
8,16,Verena Plehn,VERENA PLEHN,2,2,1,1,0,0,0,/teams/events/match_report/?EventGameId=hqsNsv7Rt3iLMfYWmD1w%2b01JBD33juTeA%2bF1a%2f4cYKQ%3d,German National Team,9,10,Molly Brown,6,15
9,20,Ellen Jakobsen,ELLEN JAKOBSEN,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=hqsNsv7Rt3iLMfYWmD1w%2b01JBD33juTeA%2bF1a%2f4cYKQ%3d,German National Team,9,10,Molly Brown,6,15
10,21,Helen Grosse-Brauckman,HELEN GROSSE-BRAUCKMAN,0,0,0,0,0,1,1,/teams/events/match_report/?EventGameId=hqsNsv7Rt3iLMfYWmD1w%2b01JBD33juTeA%2bF1a%2f4cYKQ%3d,German National Team,9,10,Molly Brown,6,15
11,23,Saskia Beeck,SASKIA BEECK,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=hqsNsv7Rt3iLMfYWmD1w%2b01JBD33juTeA%2bF1a%2f4cYKQ%3d,German National Team,9,10,Molly Brown,6,15
12,25,Nora Poel,NORA POEL,0,0,0,0,0,1,1,/teams/events/match_report/?EventGameId=hqsNsv7Rt3iLMfYWmD1w%2b01JBD33juTeA%2bF1a%2f4cYKQ%3d,German National Team,9,10,Molly Brown,6,15
13,27,Wiebke Schmans,WIEBKE SCHMANS,0,0,0,0,0,1,1,/teams/events/match_report/?EventGameId=hqsNsv7Rt3iLMfYWmD1w%2b01JBD33juTeA%2bF1a%2f4cYKQ%3d,German National Team,9,10,Molly Brown,6,15
14,28,Frederike Wagener,FREDERIKE WAGENER,1,1,0,0,0,1,1,/teams/events/match_report/?EventGameId=hqsNsv7Rt3iLMfYWmD1w%2b01JBD33juTeA%2bF1a%2f4cYKQ%3d,German National Team,9,10,Molly Brown,6,15
15,30,Mona Schäck,MONA SCHÄCK,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=hqsNsv7Rt3iLMfYWmD1w%2b01JBD33juTeA%2bF1a%2f4cYKQ%3d,German National Team,9,10,Molly Brown,6,15
16,33,Svenja Pruns,SVENJA PRUNS,0,0,0,0,0,1,1,/teams/events/match_report/?EventGameId=hqsNsv7Rt3iLMfYWmD1w%2b01JBD33juTeA%2bF1a%2f4cYKQ%3d,German National Team,9,10,Molly Brown,6,15
17,42,Levke Walczak,LEVKE WALCZAK,0,0,1,1,0,2,2,/teams/events/match_report/?EventGameId=hqsNsv7Rt3iLMfYWmD1w%2b01JBD33juTeA%2bF1a%2f4cYKQ%3d,German National Team,9,10,Molly Brown,6,15
18,61,Katharina Aschenbrenner,KATHARINA ASCHENBRENNER,0,0,0,0,0,1,1,/teams/events/match_report/?EventGameId=hqsNsv7Rt3iLMfYWmD1w%2b01JBD33juTeA%2bF1a%2f4cYKQ%3d,German National Team,9,10,Molly Brown,6,15
19,87,Stephanie Sauer,STEPHANIE SAUER,0,0,0,0,0,1,1,/teams/events/match_report/?EventGameId=hqsNsv7Rt3iLMfYWmD1w%2b01JBD33juTeA%2bF1a%2f4cYKQ%3d,German National Team,9,10,Molly Brown,6,15
20,89,Kyoko Hosokawa,KYOKO HOSOKAWA,0,0,1,1,0,1,1,/teams/events/match_report/?EventGameId=hqsNsv7Rt3iLMfYWmD1w%2b01JBD33juTeA%2bF1a%2f4cYKQ%3d,German National Team,9,10,Molly Brown,6,15
21,95,Inga Narjes,INGA NARJES,1,1,0,0,1,1,1,/teams/events/match_report/?EventGameId=hqsNsv7Rt3iLMfYWmD1w%2b01JBD33juTeA%2bF1a%2f4cYKQ%3d,German National Team,9,10,Molly Brown,6,15
0,0,Samantha Rodenberg,SAMANTHA RODENBERG,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=QZb34hdMY38sNI9jBQXLIFZTN4TwK97mmIbt04g7oqM%3d,Seattle Riot,1,15,HUCK,10,12
1,1,Kelly Johnson,KELLY JOHNSON,1,1,2,2,0,0,0,/teams/events/match_report/?EventGameId=QZb34hdMY38sNI9jBQXLIFZTN4TwK97mmIbt04g7oqM%3d,Seattle Riot,1,15,HUCK,10,12
2,3,Molly Sinnott,MOLLY SINNOTT,1,1,0,0,0,0,0,/teams/events/match_report/?EventGameId=QZb34hdMY38sNI9jBQXLIFZTN4TwK97mmIbt04g7oqM%3d,Seattle Riot,1,15,HUCK,10,12
