,As,Ds,Gs,Opp Score,Opp Seed,Opponent,Score,Seed,Team,Ts,url
0,10,3,10,15,5,Brute Squad,10,4,6ixers,16,/teams/events/match_report/?EventGameId=%2bUwqbMxJo7d8Zqt1jNHYxltHV5dYVcZ%2bvoauo1RKOOQ%3d
1,14,9,14,10,4,6ixers,15,5,Brute Squad,11,/teams/events/match_report/?EventGameId=%2bUwqbMxJo7d8Zqt1jNHYxltHV5dYVcZ%2bvoauo1RKOOQ%3d
0,11,8,11,5,16,Pop,11,4,6ixers,24,/teams/events/match_report/?EventGameId=rlzkm21EMMaxEgYmG0yPh428io%2fN3u8mBI8MlG3Hgvs%3d
1,5,6,5,11,4,6ixers,5,16,Pop,29,/teams/events/match_report/?EventGameId=rlzkm21EMMaxEgYmG0yPh428io%2fN3u8mBI8MlG3Hgvs%3d
0,11,9,11,12,10,Nightlock,11,14,Wildfire,23,/teams/events/match_report/?EventGameId=4gngP1dJZHqQ%2fPAE8k4sABOEzNfrPOyT4XWc6jM4Y0k%3d
1,12,10,12,11,14,Wildfire,12,10,Nightlock,21,/teams/events/match_report/?EventGameId=4gngP1dJZHqQ%2fPAE8k4sABOEzNfrPOyT4XWc6jM4Y0k%3d
0,9,13,9,14,14,Wildfire,9,7,Phoenix,28,/teams/events/match_report/?EventGameId=WaA3UA8tKNdWdckvSvlJWswDHKiAl25bHjfzlQomlDo%3d
1,14,10,14,9,7,Phoenix,14,14,Wildfire,25,/teams/events/match_report/?EventGameId=WaA3UA8tKNdWdckvSvlJWswDHKiAl25bHjfzlQomlDo%3d
0,15,2,15,9,8,Traffic,15,9,Schwa,9,/teams/events/match_report/?EventGameId=7Ervm1guzLu7pPy%2brYBIpLmnWLUoDYT5pqRbrq4s%2bVw%3d
1,9,5,9,15,9,Schwa,9,8,Traffic,15,/teams/events/match_report/?EventGameId=7Ervm1guzLu7pPy%2brYBIpLmnWLUoDYT5pqRbrq4s%2bVw%3d
0,15,7,15,12,6,Scandal,15,7,Phoenix,11,/teams/events/match_report/?EventGameId=deH7xpmibmP%2fPTJxCXI6uTTDc9MvVQ8DWU4IyQrTYlQ%3d
1,12,5,12,15,7,Phoenix,12,6,Scandal,13,/teams/events/match_report/?EventGameId=deH7xpmibmP%2fPTJxCXI6uTTDc9MvVQ8DWU4IyQrTYlQ%3d
0,15,4,15,11,12,Ozone,15,8,Traffic,26,/teams/events/match_report/?EventGameId=OT28wktezynoT69UfMZvIc70TC3IWQpY6b5x2GXpEbM%3d
1,11,3,11,15,8,Traffic,11,12,Ozone,29,/teams/events/match_report/?EventGameId=OT28wktezynoT69UfMZvIc70TC3IWQpY6b5x2GXpEbM%3d
0,12,11,12,11,14,Wildfire,12,11,Siege,20,/teams/events/match_report/?EventGameId=uyInhZ31O1SilUPyTe8e7ZT0SyOlYxeze81iw1zU8eE%3d
1,11,7,11,12,11,Siege,11,14,Wildfire,21,/teams/events/match_report/?EventGameId=uyInhZ31O1SilUPyTe8e7ZT0SyOlYxeze81iw1zU8eE%3d
0,10,5,10,15,8,Traffic,10,13,Nemesis,17,/teams/events/match_report/?EventGameId=1fYOn4HZiR4lF0V5T1ZMP54Kanxg%2bMsz0WAHWj6BOqo%3d
1,15,7,15,10,13,Nemesis,15,8,Traffic,12,/teams/events/match_report/?EventGameId=1fYOn4HZiR4lF0V5T1ZMP54Kanxg%2bMsz0WAHWj6BOqo%3d
0,15,10,13,8,10,Nightlock,15,1,Fury,9,/teams/events/match_report/?EventGameId=1inJITxfbLE8xUrzGpfgBv46uGZYvqCf6PCrPvG4ESU%3d
1,8,1,7,15,1,Fury,8,10,Nightlock,14,/teams/events/match_report/?EventGameId=1inJITxfbLE8xUrzGpfgBv46uGZYvqCf6PCrPvG4ESU%3d
0,15,6,15,9,14,Wildfire,15,2,Molly Brown,13,/teams/events/match_report/?EventGameId=qfdruHtI34lyWU96eztd%2f4HfDIJ7PTb%2bQ20Xuugf6rM%3d
1,9,2,9,15,2,Molly Brown,9,14,Wildfire,18,/teams/events/match_report/?EventGameId=qfdruHtI34lyWU96eztd%2f4HfDIJ7PTb%2bQ20Xuugf6rM%3d
0,15,11,15,9,16,Pop,15,5,Brute Squad,7,/teams/events/match_report/?EventGameId=4CuA864kZE%2bcmMkXrCkVIhQby8ZtKm1oRyj1EkR4VEc%3d
1,9,5,9,15,5,Brute Squad,9,16,Pop,7,/teams/events/match_report/?EventGameId=4CuA864kZE%2bcmMkXrCkVIhQby8ZtKm1oRyj1EkR4VEc%3d
0,15,4,15,9,12,Ozone,15,1,Fury,6,/teams/events/match_report/?EventGameId=G5pa%2fOaovItqvIcYKtlbdx0%2ftbhhtv%2fOsL8Rvp297Tw%3d
1,9,2,9,15,1,Fury,9,12,Ozone,11,/teams/events/match_report/?EventGameId=G5pa%2fOaovItqvIcYKtlbdx0%2ftbhhtv%2fOsL8Rvp297Tw%3d
0,10,6,10,15,13,Nemesis,10,12,Ozone,22,/teams/events/match_report/?EventGameId=QIinyYGDFSBCkvdTC0zX5HRKYXTm5aziAjlQ7kWYXyU%3d
1,15,7,15,10,12,Ozone,15,13,Nemesis,17,/teams/events/match_report/?EventGameId=QIinyYGDFSBCkvdTC0zX5HRKYXTm5aziAjlQ7kWYXyU%3d
0,12,10,12,15,6,Scandal,12,10,Nightlock,14,/teams/events/match_report/?EventGameId=dhuvYMC%2fa6466NnpHRFFb4XMC8m0hqyd1cvTS%2b5EWmQ%3d
1,14,9,15,12,10,Nightlock,15,6,Scandal,12,/teams/events/match_report/?EventGameId=dhuvYMC%2fa6466NnpHRFFb4XMC8m0hqyd1cvTS%2b5EWmQ%3d
0,14,10,14,7,15,Iris,15,13,Nemesis,12,/teams/events/match_report/?EventGameId=ADjK%2f2jzbhRQNPL3l%2fXJkw1w3NN8uxRuX782pCAXhK4%3d
1,7,3,8,15,13,Nemesis,7,15,Iris,21,/teams/events/match_report/?EventGameId=ADjK%2f2jzbhRQNPL3l%2fXJkw1w3NN8uxRuX782pCAXhK4%3d
0,13,4,12,15,3,Seattle Riot,13,2,Molly Brown,12,/teams/events/match_report/?EventGameId=gH075VdxXypzHoh3OBwY0y2JYFybYX1%2bCmUpo4Et9OI%3d
1,15,1,15,13,2,Molly Brown,15,3,Seattle Riot,10,/teams/events/match_report/?EventGameId=gH075VdxXypzHoh3OBwY0y2JYFybYX1%2bCmUpo4Et9OI%3d
0,0,0,0,0,4,6ixers,0,5,Brute Squad,0,/teams/events/match_report/?EventGameId=AqxTtWcGwwIIhM5BTVuMJvlxvOitAr7ZwM90sNHXS2M%3d
1,0,0,0,0,5,Brute Squad,0,4,6ixers,0,/teams/events/match_report/?EventGameId=AqxTtWcGwwIIhM5BTVuMJvlxvOitAr7ZwM90sNHXS2M%3d
0,15,7,15,9,13,Nemesis,15,4,6ixers,17,/teams/events/match_report/?EventGameId=BuRexqD7jakH7DhOOhBKscbA1iED%2fLpG14%2bvnxgGvII%3d
1,9,10,9,15,4,6ixers,9,13,Nemesis,27,/teams/events/match_report/?EventGameId=BuRexqD7jakH7DhOOhBKscbA1iED%2fLpG14%2bvnxgGvII%3d
