,home_score,away_score,url,home_team,away_team,home_seed,away_seed,home_final_score,away_final_score
7,4,3,/teams/events/match_report/?EventGameId=StpcCUixM7%2b6qQdUWXUkkAz8e9IWm7lTQUx3GMO42lU%3d,Nightlock,Pop,4,9,13,9
8,5,3,/teams/events/match_report/?EventGameId=StpcCUixM7%2b6qQdUWXUkkAz8e9IWm7lTQUx3GMO42lU%3d,Nightlock,Pop,4,9,13,9
9,5,4,/teams/events/match_report/?EventGameId=StpcCUixM7%2b6qQdUWXUkkAz8e9IWm7lTQUx3GMO42lU%3d,Nightlock,Pop,4,9,13,9
10,6,4,/teams/events/match_report/?EventGameId=StpcCUixM7%2b6qQdUWXUkkAz8e9IWm7lTQUx3GMO42lU%3d,Nightlock,Pop,4,9,13,9
11,7,4,/teams/events/match_report/?EventGameId=StpcCUixM7%2b6qQdUWXUkkAz8e9IWm7lTQUx3GMO42lU%3d,Nightlock,Pop,4,9,13,9
12,8,4,/teams/events/match_report/?EventGameId=StpcCUixM7%2b6qQdUWXUkkAz8e9IWm7lTQUx3GMO42lU%3d,Nightlock,Pop,4,9,13,9
13,8,5,/teams/events/match_report/?EventGameId=StpcCUixM7%2b6qQdUWXUkkAz8e9IWm7lTQUx3GMO42lU%3d,Nightlock,Pop,4,9,13,9
14,9,5,/teams/events/match_report/?EventGameId=StpcCUixM7%2b6qQdUWXUkkAz8e9IWm7lTQUx3GMO42lU%3d,Nightlock,Pop,4,9,13,9
15,9,6,/teams/events/match_report/?EventGameId=StpcCUixM7%2b6qQdUWXUkkAz8e9IWm7lTQUx3GMO42lU%3d,Nightlock,Pop,4,9,13,9
16,9,7,/teams/events/match_report/?EventGameId=StpcCUixM7%2b6qQdUWXUkkAz8e9IWm7lTQUx3GMO42lU%3d,Nightlock,Pop,4,9,13,9
17,10,7,/teams/events/match_report/?EventGameId=StpcCUixM7%2b6qQdUWXUkkAz8e9IWm7lTQUx3GMO42lU%3d,Nightlock,Pop,4,9,13,9
18,11,7,/teams/events/match_report/?EventGameId=StpcCUixM7%2b6qQdUWXUkkAz8e9IWm7lTQUx3GMO42lU%3d,Nightlock,Pop,4,9,13,9
19,11,8,/teams/events/match_report/?EventGameId=StpcCUixM7%2b6qQdUWXUkkAz8e9IWm7lTQUx3GMO42lU%3d,Nightlock,Pop,4,9,13,9
20,12,8,/teams/events/match_report/?EventGameId=StpcCUixM7%2b6qQdUWXUkkAz8e9IWm7lTQUx3GMO42lU%3d,Nightlock,Pop,4,9,13,9
21,12,9,/teams/events/match_report/?EventGameId=StpcCUixM7%2b6qQdUWXUkkAz8e9IWm7lTQUx3GMO42lU%3d,Nightlock,Pop,4,9,13,9
22,13,9,/teams/events/match_report/?EventGameId=StpcCUixM7%2b6qQdUWXUkkAz8e9IWm7lTQUx3GMO42lU%3d,Nightlock,Pop,4,9,13,9
0,0,0,/teams/events/match_report/?EventGameId=r1KaXjGKV4OjgNxIxkoZYY3YzTIL%2f9eSgjs8G%2fSrWMQ%3d,Ozone,Rival,6,10,10,13
1,0,1,/teams/events/match_report/?EventGameId=r1KaXjGKV4OjgNxIxkoZYY3YzTIL%2f9eSgjs8G%2fSrWMQ%3d,Ozone,Rival,6,10,10,13
