,No.,Name,Position,Height,Points,Assists,Ds,Turns,url,Team,Seed,UpperName
4,5,Naomi Morcilla,Cutter,"5'3""",1.0,2.0,3.0,7.0,/events/teams/?EventTeamId=AdFrINVrDr6cVNtKD3of038ZQxHsAwwdJLBwdXTkhus%3d,Traffic,8,NAOMI MORCILLA
5,6,Betsy Chan,,,3.0,1.0,3.0,4.0,/events/teams/?EventTeamId=AdFrINVrDr6cVNtKD3of038ZQxHsAwwdJLBwdXTkhus%3d,Traffic,8,BETSY CHAN
6,8,Lisa Wong,,,3.0,2.0,1.0,3.0,/events/teams/?EventTeamId=AdFrINVrDr6cVNtKD3of038ZQxHsAwwdJLBwdXTkhus%3d,Traffic,8,LISA WONG
7,9,Jessica Rockliff,,,4.0,5.0,1.0,6.0,/events/teams/?EventTeamId=AdFrINVrDr6cVNtKD3of038ZQxHsAwwdJLBwdXTkhus%3d,Traffic,8,JESSICA ROCKLIFF
8,11,Katie Hikida,,,1.0,1.0,,3.0,/events/teams/?EventTeamId=AdFrINVrDr6cVNtKD3of038ZQxHsAwwdJLBwdXTkhus%3d,Traffic,8,KATIE HIKIDA
9,12,Daisy Lin,,"5'4""",5.0,7.0,,10.0,/events/teams/?EventTeamId=AdFrINVrDr6cVNtKD3of038ZQxHsAwwdJLBwdXTkhus%3d,Traffic,8,DAISY LIN
10,13,Denise Su,Dump,"9'6""",1.0,2.0,1.0,6.0,/events/teams/?EventTeamId=AdFrINVrDr6cVNtKD3of038ZQxHsAwwdJLBwdXTkhus%3d,Traffic,8,DENISE SU
11,15,Monica Hsu,,,1.0,,1.0,5.0,/events/teams/?EventTeamId=AdFrINVrDr6cVNtKD3of038ZQxHsAwwdJLBwdXTkhus%3d,Traffic,8,MONICA HSU
12,17,Paula Wong,,,2.0,1.0,2.0,1.0,/events/teams/?EventTeamId=AdFrINVrDr6cVNtKD3of038ZQxHsAwwdJLBwdXTkhus%3d,Traffic,8,PAULA WONG
13,19,Nagisa Fukuoka,,,4.0,12.0,,5.0,/events/teams/?EventTeamId=AdFrINVrDr6cVNtKD3of038ZQxHsAwwdJLBwdXTkhus%3d,Traffic,8,NAGISA FUKUOKA
14,20,Collefas Mot,Defense (Cutter),"5'5""",4.0,,2.0,2.0,/events/teams/?EventTeamId=AdFrINVrDr6cVNtKD3of038ZQxHsAwwdJLBwdXTkhus%3d,Traffic,8,COLLEFAS MOT
15,22,Carly Sakai,,,1.0,,,,/events/teams/?EventTeamId=AdFrINVrDr6cVNtKD3of038ZQxHsAwwdJLBwdXTkhus%3d,Traffic,8,CARLY SAKAI
16,23,Brianne Wager,,,1.0,4.0,4.0,5.0,/events/teams/?EventTeamId=AdFrINVrDr6cVNtKD3of038ZQxHsAwwdJLBwdXTkhus%3d,Traffic,8,BRIANNE WAGER
17,24,Julia Zhang,Cutter,"5'7""",1.0,5.0,3.0,4.0,/events/teams/?EventTeamId=AdFrINVrDr6cVNtKD3of038ZQxHsAwwdJLBwdXTkhus%3d,Traffic,8,JULIA ZHANG
18,29,Sophia Yik Hei Chan,,,4.0,3.0,,2.0,/events/teams/?EventTeamId=AdFrINVrDr6cVNtKD3of038ZQxHsAwwdJLBwdXTkhus%3d,Traffic,8,SOPHIA YIK HEI CHAN
19,33,Laura Mason,,"5'8""",10.0,11.0,1.0,11.0,/events/teams/?EventTeamId=AdFrINVrDr6cVNtKD3of038ZQxHsAwwdJLBwdXTkhus%3d,Traffic,8,LAURA MASON
20,48,Zellema Mot,,,2.0,,6.0,4.0,/events/teams/?EventTeamId=AdFrINVrDr6cVNtKD3of038ZQxHsAwwdJLBwdXTkhus%3d,Traffic,8,ZELLEMA MOT
21,77,Jennifer Kwok,,"1'0""",8.0,8.0,1.0,1.0,/events/teams/?EventTeamId=AdFrINVrDr6cVNtKD3of038ZQxHsAwwdJLBwdXTkhus%3d,Traffic,8,JENNIFER KWOK
22,81,Jessica Chung,,,1.0,3.0,1.0,6.0,/events/teams/?EventTeamId=AdFrINVrDr6cVNtKD3of038ZQxHsAwwdJLBwdXTkhus%3d,Traffic,8,JESSICA CHUNG
23,87,Nicola Parker,,,7.0,7.0,8.0,6.0,/events/teams/?EventTeamId=AdFrINVrDr6cVNtKD3of038ZQxHsAwwdJLBwdXTkhus%3d,Traffic,8,NICOLA PARKER
24,90,Catherine Hui,,,15.0,9.0,5.0,17.0,/events/teams/?EventTeamId=AdFrINVrDr6cVNtKD3of038ZQxHsAwwdJLBwdXTkhus%3d,Traffic,8,CATHERINE HUI
0,0,Eileen Duffner,Handler,"5'9""",2.0,2.0,,4.0,/events/teams/?EventTeamId=fwscC%2bknwUtTzLp8izgq4M5rI8r8i4M3aiyepw%2brOAo%3d,Nemesis,13,EILEEN DUFFNER
1,1,Allison Fish,,,,3.0,2.0,4.0,/events/teams/?EventTeamId=fwscC%2bknwUtTzLp8izgq4M5rI8r8i4M3aiyepw%2brOAo%3d,Nemesis,13,ALLISON FISH
2,2,Elizabeth Arakaki,,,1.0,1.0,3.0,2.0,/events/teams/?EventTeamId=fwscC%2bknwUtTzLp8izgq4M5rI8r8i4M3aiyepw%2brOAo%3d,Nemesis,13,ELIZABETH ARAKAKI
3,4,Monica Matsumoto,,,9.0,2.0,3.0,7.0,/events/teams/?EventTeamId=fwscC%2bknwUtTzLp8izgq4M5rI8r8i4M3aiyepw%2brOAo%3d,Nemesis,13,MONICA MATSUMOTO
4,5,Anna Thorn,Handler,"5'6""",,,,,/events/teams/?EventTeamId=fwscC%2bknwUtTzLp8izgq4M5rI8r8i4M3aiyepw%2brOAo%3d,Nemesis,13,ANNA THORN
5,6,Risa Umeno,Cutter,"5'3""",2.0,2.0,1.0,4.0,/events/teams/?EventTeamId=fwscC%2bknwUtTzLp8izgq4M5rI8r8i4M3aiyepw%2brOAo%3d,Nemesis,13,RISA UMENO
6,7,Madison Moore,,,4.0,2.0,2.0,1.0,/events/teams/?EventTeamId=fwscC%2bknwUtTzLp8izgq4M5rI8r8i4M3aiyepw%2brOAo%3d,Nemesis,13,MADISON MOORE
7,8,Christina Sur,,"5'5""",4.0,3.0,1.0,4.0,/events/teams/?EventTeamId=fwscC%2bknwUtTzLp8izgq4M5rI8r8i4M3aiyepw%2brOAo%3d,Nemesis,13,CHRISTINA SUR
8,9,Cassandra Brown,Handler,"5'4""",,6.0,2.0,7.0,/events/teams/?EventTeamId=fwscC%2bknwUtTzLp8izgq4M5rI8r8i4M3aiyepw%2brOAo%3d,Nemesis,13,CASSANDRA BROWN
9,10,Emilie Willingham,Handler/Cutter,"5'9""",2.0,12.0,6.0,13.0,/events/teams/?EventTeamId=fwscC%2bknwUtTzLp8izgq4M5rI8r8i4M3aiyepw%2brOAo%3d,Nemesis,13,EMILIE WILLINGHAM
10,11,Beth Daviess,,"5'7""",1.0,3.0,,3.0,/events/teams/?EventTeamId=fwscC%2bknwUtTzLp8izgq4M5rI8r8i4M3aiyepw%2brOAo%3d,Nemesis,13,BETH DAVIESS
11,12,Jennifer Corcoran,,,2.0,14.0,2.0,23.0,/events/teams/?EventTeamId=fwscC%2bknwUtTzLp8izgq4M5rI8r8i4M3aiyepw%2brOAo%3d,Nemesis,13,JENNIFER CORCORAN
12,14,Sarah Helding,,,,,2.0,2.0,/events/teams/?EventTeamId=fwscC%2bknwUtTzLp8izgq4M5rI8r8i4M3aiyepw%2brOAo%3d,Nemesis,13,SARAH HELDING
13,15,Danielle Blatt,Cutter,"5'4""",4.0,,2.0,2.0,/events/teams/?EventTeamId=fwscC%2bknwUtTzLp8izgq4M5rI8r8i4M3aiyepw%2brOAo%3d,Nemesis,13,DANIELLE BLATT
14,17,Erika Danckers,,,4.0,1.0,1.0,1.0,/events/teams/?EventTeamId=fwscC%2bknwUtTzLp8izgq4M5rI8r8i4M3aiyepw%2brOAo%3d,Nemesis,13,ERIKA DANCKERS
15,18,Sarah Kim,,"1'0""",3.0,3.0,,6.0,/events/teams/?EventTeamId=fwscC%2bknwUtTzLp8izgq4M5rI8r8i4M3aiyepw%2brOAo%3d,Nemesis,13,SARAH KIM
16,19,Rachel Foster,,,3.0,4.0,8.0,14.0,/events/teams/?EventTeamId=fwscC%2bknwUtTzLp8izgq4M5rI8r8i4M3aiyepw%2brOAo%3d,Nemesis,13,RACHEL FOSTER
17,21,Clare Frantz,,,2.0,1.0,5.0,6.0,/events/teams/?EventTeamId=fwscC%2bknwUtTzLp8izgq4M5rI8r8i4M3aiyepw%2brOAo%3d,Nemesis,13,CLARE FRANTZ
18,22,Jessica LeDonne,,"5'2""",6.0,,3.0,2.0,/events/teams/?EventTeamId=fwscC%2bknwUtTzLp8izgq4M5rI8r8i4M3aiyepw%2brOAo%3d,Nemesis,13,JESSICA LEDONNE
19,24,Sarah Davis,,,2.0,6.0,2.0,22.0,/events/teams/?EventTeamId=fwscC%2bknwUtTzLp8izgq4M5rI8r8i4M3aiyepw%2brOAo%3d,Nemesis,13,SARAH DAVIS
