,No.,Name,Position,Height,Points,Assists,Ds,Turns,url,Team,Seed,UpperName
9,20.0,Casey Gorman,,"5'7""",6.0,4.0,,1.0,/events/teams/?EventTeamId=YVjZA2YBEU%2bZCRAASQwyu8F4Ad%2bD9Q6YJRE56%2fQ%2fVSQ%3d,Scandal,3,CASEY GORMAN
10,21.0,Jessica Sourbeer,,,,,1.0,,/events/teams/?EventTeamId=YVjZA2YBEU%2bZCRAASQwyu8F4Ad%2bD9Q6YJRE56%2fQ%2fVSQ%3d,Scandal,3,JESSICA SOURBEER
11,22.0,Lauren Allen,,,4.0,1.0,,,/events/teams/?EventTeamId=YVjZA2YBEU%2bZCRAASQwyu8F4Ad%2bD9Q6YJRE56%2fQ%2fVSQ%3d,Scandal,3,LAUREN ALLEN
12,23.0,Sarah Lord,,"5'5""",1.0,3.0,,4.0,/events/teams/?EventTeamId=YVjZA2YBEU%2bZCRAASQwyu8F4Ad%2bD9Q6YJRE56%2fQ%2fVSQ%3d,Scandal,3,SARAH LORD
13,27.0,Akina Younge,,,1.0,,,1.0,/events/teams/?EventTeamId=YVjZA2YBEU%2bZCRAASQwyu8F4Ad%2bD9Q6YJRE56%2fQ%2fVSQ%3d,Scandal,3,AKINA YOUNGE
14,34.0,Ingrid Petterson,,"5'7""",1.0,1.0,,2.0,/events/teams/?EventTeamId=YVjZA2YBEU%2bZCRAASQwyu8F4Ad%2bD9Q6YJRE56%2fQ%2fVSQ%3d,Scandal,3,INGRID PETTERSON
15,36.0,Carolyn Normile,,"5'3""",6.0,8.0,2.0,7.0,/events/teams/?EventTeamId=YVjZA2YBEU%2bZCRAASQwyu8F4Ad%2bD9Q6YJRE56%2fQ%2fVSQ%3d,Scandal,3,CAROLYN NORMILE
16,44.0,Keila Strick,,,2.0,4.0,2.0,2.0,/events/teams/?EventTeamId=YVjZA2YBEU%2bZCRAASQwyu8F4Ad%2bD9Q6YJRE56%2fQ%2fVSQ%3d,Scandal,3,KEILA STRICK
17,49.0,Robyn Fennig,,"5'6""",1.0,14.0,2.0,7.0,/events/teams/?EventTeamId=YVjZA2YBEU%2bZCRAASQwyu8F4Ad%2bD9Q6YJRE56%2fQ%2fVSQ%3d,Scandal,3,ROBYN FENNIG
18,72.0,Lauren Boyle,,"5'5""",,,,1.0,/events/teams/?EventTeamId=YVjZA2YBEU%2bZCRAASQwyu8F4Ad%2bD9Q6YJRE56%2fQ%2fVSQ%3d,Scandal,3,LAUREN BOYLE
19,82.0,Molly Moore,,,,,,,/events/teams/?EventTeamId=YVjZA2YBEU%2bZCRAASQwyu8F4Ad%2bD9Q6YJRE56%2fQ%2fVSQ%3d,Scandal,3,MOLLY MOORE
20,87.0,Austin Prucha,,,2.0,2.0,1.0,,/events/teams/?EventTeamId=YVjZA2YBEU%2bZCRAASQwyu8F4Ad%2bD9Q6YJRE56%2fQ%2fVSQ%3d,Scandal,3,AUSTIN PRUCHA
0,0.0,Katie Weatherhead,Handler,"1'0""",,,,,/events/teams/?EventTeamId=8vcgGL%2b0u%2fAWc2OHCqd7RBIY%2b4Cmnu662GWrbmECM4g%3d,Schwa,8,KATIE WEATHERHEAD
1,1.0,Lillian Weaver,,,1.0,1.0,,,/events/teams/?EventTeamId=8vcgGL%2b0u%2fAWc2OHCqd7RBIY%2b4Cmnu662GWrbmECM4g%3d,Schwa,8,LILLIAN WEAVER
2,2.0,Makena Strand,,,,,,,/events/teams/?EventTeamId=8vcgGL%2b0u%2fAWc2OHCqd7RBIY%2b4Cmnu662GWrbmECM4g%3d,Schwa,8,MAKENA STRAND
3,5.0,Kimber Coles,,,4.0,1.0,,,/events/teams/?EventTeamId=8vcgGL%2b0u%2fAWc2OHCqd7RBIY%2b4Cmnu662GWrbmECM4g%3d,Schwa,8,KIMBER COLES
4,7.0,Shea Brennan,Handler,"5'2""",,2.0,,1.0,/events/teams/?EventTeamId=8vcgGL%2b0u%2fAWc2OHCqd7RBIY%2b4Cmnu662GWrbmECM4g%3d,Schwa,8,SHEA BRENNAN
5,8.0,Eva Popp,,,,2.0,,,/events/teams/?EventTeamId=8vcgGL%2b0u%2fAWc2OHCqd7RBIY%2b4Cmnu662GWrbmECM4g%3d,Schwa,8,EVA POPP
6,9.0,Brenna Bailey,,,1.0,1.0,,,/events/teams/?EventTeamId=8vcgGL%2b0u%2fAWc2OHCqd7RBIY%2b4Cmnu662GWrbmECM4g%3d,Schwa,8,BRENNA BAILEY
7,11.0,Rachel Egan,,"5'6""",6.0,2.0,,3.0,/events/teams/?EventTeamId=8vcgGL%2b0u%2fAWc2OHCqd7RBIY%2b4Cmnu662GWrbmECM4g%3d,Schwa,8,RACHEL EGAN
8,12.0,Mariel Hammond,,,,,,,/events/teams/?EventTeamId=8vcgGL%2b0u%2fAWc2OHCqd7RBIY%2b4Cmnu662GWrbmECM4g%3d,Schwa,8,MARIEL HAMMOND
9,15.0,Katie Blise,,,,4.0,,1.0,/events/teams/?EventTeamId=8vcgGL%2b0u%2fAWc2OHCqd7RBIY%2b4Cmnu662GWrbmECM4g%3d,Schwa,8,KATIE BLISE
10,16.0,Kristen Rosenblum,,"5'9""",1.0,3.0,,,/events/teams/?EventTeamId=8vcgGL%2b0u%2fAWc2OHCqd7RBIY%2b4Cmnu662GWrbmECM4g%3d,Schwa,8,KRISTEN ROSENBLUM
11,18.0,Julia Sherwood,Handler,,1.0,1.0,,,/events/teams/?EventTeamId=8vcgGL%2b0u%2fAWc2OHCqd7RBIY%2b4Cmnu662GWrbmECM4g%3d,Schwa,8,JULIA SHERWOOD
12,19.0,Georgina Tetlow,,"5'4""",1.0,,,1.0,/events/teams/?EventTeamId=8vcgGL%2b0u%2fAWc2OHCqd7RBIY%2b4Cmnu662GWrbmECM4g%3d,Schwa,8,GEORGINA TETLOW
13,22.0,Natalie Green,Handler,"5'2""",2.0,,,,/events/teams/?EventTeamId=8vcgGL%2b0u%2fAWc2OHCqd7RBIY%2b4Cmnu662GWrbmECM4g%3d,Schwa,8,NATALIE GREEN
14,27.0,Elizabeth Longmire,,,,1.0,,2.0,/events/teams/?EventTeamId=8vcgGL%2b0u%2fAWc2OHCqd7RBIY%2b4Cmnu662GWrbmECM4g%3d,Schwa,8,ELIZABETH LONGMIRE
15,34.0,Angelica Chambers,,,1.0,,,1.0,/events/teams/?EventTeamId=8vcgGL%2b0u%2fAWc2OHCqd7RBIY%2b4Cmnu662GWrbmECM4g%3d,Schwa,8,ANGELICA CHAMBERS
16,37.0,Beckie Zipp Perston,Handler/Cutter,"5'8""",,3.0,1.0,1.0,/events/teams/?EventTeamId=8vcgGL%2b0u%2fAWc2OHCqd7RBIY%2b4Cmnu662GWrbmECM4g%3d,Schwa,8,BECKIE ZIPP PERSTON
17,43.0,Ella Hansen,Dump,"10'11""",,,,,/events/teams/?EventTeamId=8vcgGL%2b0u%2fAWc2OHCqd7RBIY%2b4Cmnu662GWrbmECM4g%3d,Schwa,8,ELLA HANSEN
18,44.0,Lyudmila Likhonina,,,1.0,1.0,1.0,,/events/teams/?EventTeamId=8vcgGL%2b0u%2fAWc2OHCqd7RBIY%2b4Cmnu662GWrbmECM4g%3d,Schwa,8,LYUDMILA LIKHONINA
19,47.0,Madeleine Franz,,,2.0,1.0,,,/events/teams/?EventTeamId=8vcgGL%2b0u%2fAWc2OHCqd7RBIY%2b4Cmnu662GWrbmECM4g%3d,Schwa,8,MADELEINE FRANZ
20,55.0,Emery Otopalik,Cutter,"5'7""",1.0,1.0,,1.0,/events/teams/?EventTeamId=8vcgGL%2b0u%2fAWc2OHCqd7RBIY%2b4Cmnu662GWrbmECM4g%3d,Schwa,8,EMERY OTOPALIK
21,99.0,Noelle Takahashi,,"5'6""",7.0,5.0,,3.0,/events/teams/?EventTeamId=8vcgGL%2b0u%2fAWc2OHCqd7RBIY%2b4Cmnu662GWrbmECM4g%3d,Schwa,8,NOELLE TAKAHASHI
0,0.0,Paige Soper,,,1.0,,,,/events/teams/?EventTeamId=azZSMKIV38qKxavIW3OejJMIyBfURXLmax1tKqkrBC8%3d,Rival,9,PAIGE SOPER
1,2.0,Lucy Bender,,"5'6""",2.0,1.0,,,/events/teams/?EventTeamId=azZSMKIV38qKxavIW3OejJMIyBfURXLmax1tKqkrBC8%3d,Rival,9,LUCY BENDER
2,3.0,Grace Conerly,,"10'11""",,1.0,,,/events/teams/?EventTeamId=azZSMKIV38qKxavIW3OejJMIyBfURXLmax1tKqkrBC8%3d,Rival,9,GRACE CONERLY
3,5.0,Stephanie (Stevie) Miller,,"5'6""",1.0,,,,/events/teams/?EventTeamId=azZSMKIV38qKxavIW3OejJMIyBfURXLmax1tKqkrBC8%3d,Rival,9,STEPHANIE (STEVIE) MILLER
4,6.0,Corinn Pruitt,,"5'6""",,,,,/events/teams/?EventTeamId=azZSMKIV38qKxavIW3OejJMIyBfURXLmax1tKqkrBC8%3d,Rival,9,CORINN PRUITT
5,7.0,Sara Nitz,,,2.0,,,,/events/teams/?EventTeamId=azZSMKIV38qKxavIW3OejJMIyBfURXLmax1tKqkrBC8%3d,Rival,9,SARA NITZ
6,8.0,Becky Moore,,"5'8""",1.0,,,,/events/teams/?EventTeamId=azZSMKIV38qKxavIW3OejJMIyBfURXLmax1tKqkrBC8%3d,Rival,9,BECKY MOORE
7,9.0,Janine Walker,,,,,,,/events/teams/?EventTeamId=azZSMKIV38qKxavIW3OejJMIyBfURXLmax1tKqkrBC8%3d,Rival,9,JANINE WALKER
8,10.0,Kristen Smiach,,,,3.0,,,/events/teams/?EventTeamId=azZSMKIV38qKxavIW3OejJMIyBfURXLmax1tKqkrBC8%3d,Rival,9,KRISTEN SMIACH
9,11.0,Tracey Lo,,"4'4""",,1.0,,,/events/teams/?EventTeamId=azZSMKIV38qKxavIW3OejJMIyBfURXLmax1tKqkrBC8%3d,Rival,9,TRACEY LO
10,13.0,Madison Fleming,,,1.0,,,,/events/teams/?EventTeamId=azZSMKIV38qKxavIW3OejJMIyBfURXLmax1tKqkrBC8%3d,Rival,9,MADISON FLEMING
11,14.0,Sharon Yee,,,,,,,/events/teams/?EventTeamId=azZSMKIV38qKxavIW3OejJMIyBfURXLmax1tKqkrBC8%3d,Rival,9,SHARON YEE
12,15.0,Brittany Wright,,"5'4""",1.0,,,,/events/teams/?EventTeamId=azZSMKIV38qKxavIW3OejJMIyBfURXLmax1tKqkrBC8%3d,Rival,9,BRITTANY WRIGHT
13,16.0,Lilly Mendoza,,"5'1""",,,,,/events/teams/?EventTeamId=azZSMKIV38qKxavIW3OejJMIyBfURXLmax1tKqkrBC8%3d,Rival,9,LILLY MENDOZA
14,18.0,Caitlin Harley,,,2.0,1.0,,,/events/teams/?EventTeamId=azZSMKIV38qKxavIW3OejJMIyBfURXLmax1tKqkrBC8%3d,Rival,9,CAITLIN HARLEY
15,19.0,Laura Soter,,,,,,,/events/teams/?EventTeamId=azZSMKIV38qKxavIW3OejJMIyBfURXLmax1tKqkrBC8%3d,Rival,9,LAURA SOTER
16,22.0,Elizabeth Lehman,Handler,"5'8""",,1.0,,,/events/teams/?EventTeamId=azZSMKIV38qKxavIW3OejJMIyBfURXLmax1tKqkrBC8%3d,Rival,9,ELIZABETH LEHMAN
17,27.0,Megan Gordon,,,,,,,/events/teams/?EventTeamId=azZSMKIV38qKxavIW3OejJMIyBfURXLmax1tKqkrBC8%3d,Rival,9,MEGAN GORDON
18,28.0,Emma Schroder,Defense (Cutter),"5'10""",,,,,/events/teams/?EventTeamId=azZSMKIV38qKxavIW3OejJMIyBfURXLmax1tKqkrBC8%3d,Rival,9,EMMA SCHRODER
19,30.0,Mackenzie Fazekas,,,,,,,/events/teams/?EventTeamId=azZSMKIV38qKxavIW3OejJMIyBfURXLmax1tKqkrBC8%3d,Rival,9,MACKENZIE FAZEKAS
20,37.0,Kari Paine,,,,,,,/events/teams/?EventTeamId=azZSMKIV38qKxavIW3OejJMIyBfURXLmax1tKqkrBC8%3d,Rival,9,KARI PAINE
21,38.0,Jennifer Perry,,,,,,,/events/teams/?EventTeamId=azZSMKIV38qKxavIW3OejJMIyBfURXLmax1tKqkrBC8%3d,Rival,9,JENNIFER PERRY
22,42.0,Meg Duffy,Handler,"5'4""",,2.0,,,/events/teams/?EventTeamId=azZSMKIV38qKxavIW3OejJMIyBfURXLmax1tKqkrBC8%3d,Rival,9,MEG DUFFY
23,83.0,Zoe Hecht,,"5'7""",,1.0,,,/events/teams/?EventTeamId=azZSMKIV38qKxavIW3OejJMIyBfURXLmax1tKqkrBC8%3d,Rival,9,ZOE HECHT
24,99.0,Iris Javersak,,,1.0,,,,/events/teams/?EventTeamId=azZSMKIV38qKxavIW3OejJMIyBfURXLmax1tKqkrBC8%3d,Rival,9,IRIS JAVERSAK
0,3.0,Anna Reed,,,1.0,1.0,2.0,,/events/teams/?EventTeamId=ZZRXS8LUNNvY7RYX00iI8CS1xfwN9okn%2bG7XxeuuDd4%3d,Fury,4,ANNA REED
1,5.0,Kaela Helton,,,1.0,2.0,,,/events/teams/?EventTeamId=ZZRXS8LUNNvY7RYX00iI8CS1xfwN9okn%2bG7XxeuuDd4%3d,Fury,4,KAELA HELTON
2,6.0,Sarah Griffith,Dump,"5'5""",5.0,,,,/events/teams/?EventTeamId=ZZRXS8LUNNvY7RYX00iI8CS1xfwN9okn%2bG7XxeuuDd4%3d,Fury,4,SARAH GRIFFITH
3,7.0,Octavia Payne,,,,,,1.0,/events/teams/?EventTeamId=ZZRXS8LUNNvY7RYX00iI8CS1xfwN9okn%2bG7XxeuuDd4%3d,Fury,4,OCTAVIA PAYNE
4,8.0,Nancy Sun,,,,2.0,,,/events/teams/?EventTeamId=ZZRXS8LUNNvY7RYX00iI8CS1xfwN9okn%2bG7XxeuuDd4%3d,Fury,4,NANCY SUN
5,9.0,Marika Austin,,,1.0,,1.0,,/events/teams/?EventTeamId=ZZRXS8LUNNvY7RYX00iI8CS1xfwN9okn%2bG7XxeuuDd4%3d,Fury,4,MARIKA AUSTIN
6,10.0,Sharon Lin,,"5'1""",,,,,/events/teams/?EventTeamId=ZZRXS8LUNNvY7RYX00iI8CS1xfwN9okn%2bG7XxeuuDd4%3d,Fury,4,SHARON LIN
7,11.0,Carolyn Finney,,"1'0""",1.0,4.0,1.0,1.0,/events/teams/?EventTeamId=ZZRXS8LUNNvY7RYX00iI8CS1xfwN9okn%2bG7XxeuuDd4%3d,Fury,4,CAROLYN FINNEY
8,12.0,Diana Charrier,,,,,,,/events/teams/?EventTeamId=ZZRXS8LUNNvY7RYX00iI8CS1xfwN9okn%2bG7XxeuuDd4%3d,Fury,4,DIANA CHARRIER
9,13.0,Cree Howard,,,1.0,2.0,1.0,,/events/teams/?EventTeamId=ZZRXS8LUNNvY7RYX00iI8CS1xfwN9okn%2bG7XxeuuDd4%3d,Fury,4,CREE HOWARD
10,14.0,Yelena Gorlin,,,1.0,,,,/events/teams/?EventTeamId=ZZRXS8LUNNvY7RYX00iI8CS1xfwN9okn%2bG7XxeuuDd4%3d,Fury,4,YELENA GORLIN
11,15.0,Julia Butterfield,Cutter,"5'10""",1.0,,,,/events/teams/?EventTeamId=ZZRXS8LUNNvY7RYX00iI8CS1xfwN9okn%2bG7XxeuuDd4%3d,Fury,4,JULIA BUTTERFIELD
12,19.0,Amel Awadelkarim,Handler/Cutter,"5'5""",,,,,/events/teams/?EventTeamId=ZZRXS8LUNNvY7RYX00iI8CS1xfwN9okn%2bG7XxeuuDd4%3d,Fury,4,AMEL AWADELKARIM
13,20.0,Bree Cahn,,,3.0,,1.0,1.0,/events/teams/?EventTeamId=ZZRXS8LUNNvY7RYX00iI8CS1xfwN9okn%2bG7XxeuuDd4%3d,Fury,4,BREE CAHN
14,21.0,Meeri Chang,,"5'3""",,,,,/events/teams/?EventTeamId=ZZRXS8LUNNvY7RYX00iI8CS1xfwN9okn%2bG7XxeuuDd4%3d,Fury,4,MEERI CHANG
15,29.0,Kirstin Johnson,,"5'4""",2.0,3.0,,1.0,/events/teams/?EventTeamId=ZZRXS8LUNNvY7RYX00iI8CS1xfwN9okn%2bG7XxeuuDd4%3d,Fury,4,KIRSTIN JOHNSON
16,33.0,Anna Nazarov,,,,,,2.0,/events/teams/?EventTeamId=ZZRXS8LUNNvY7RYX00iI8CS1xfwN9okn%2bG7XxeuuDd4%3d,Fury,4,ANNA NAZAROV
17,38.0,Claire McKeever,Cutter,"5'3""",1.0,,,,/events/teams/?EventTeamId=ZZRXS8LUNNvY7RYX00iI8CS1xfwN9okn%2bG7XxeuuDd4%3d,Fury,4,CLAIRE MCKEEVER
18,44.0,Maggie Ruden,,,,2.0,,1.0,/events/teams/?EventTeamId=ZZRXS8LUNNvY7RYX00iI8CS1xfwN9okn%2bG7XxeuuDd4%3d,Fury,4,MAGGIE RUDEN
19,47.0,Bethany Kaylor,,"1'0""",3.0,2.0,,,/events/teams/?EventTeamId=ZZRXS8LUNNvY7RYX00iI8CS1xfwN9okn%2bG7XxeuuDd4%3d,Fury,4,BETHANY KAYLOR
20,51.0,Claire Desmond,,,1.0,1.0,,,/events/teams/?EventTeamId=ZZRXS8LUNNvY7RYX00iI8CS1xfwN9okn%2bG7XxeuuDd4%3d,Fury,4,CLAIRE DESMOND
21,66.0,Lakshmi Narayan,,,1.0,,,1.0,/events/teams/?EventTeamId=ZZRXS8LUNNvY7RYX00iI8CS1xfwN9okn%2bG7XxeuuDd4%3d,Fury,4,LAKSHMI NARAYAN
22,70.0,Marisa Mead,,,,,,,/events/teams/?EventTeamId=ZZRXS8LUNNvY7RYX00iI8CS1xfwN9okn%2bG7XxeuuDd4%3d,Fury,4,MARISA MEAD
23,71.0,Magon Liu,,"5'4""",,,,,/events/teams/?EventTeamId=ZZRXS8LUNNvY7RYX00iI8CS1xfwN9okn%2bG7XxeuuDd4%3d,Fury,4,MAGON LIU
24,91.0,Jessica O'Connor,,,,4.0,,1.0,/events/teams/?EventTeamId=ZZRXS8LUNNvY7RYX00iI8CS1xfwN9okn%2bG7XxeuuDd4%3d,Fury,4,JESSICA O'CONNOR
0,,Hannah Dawson,,,,,,,/events/teams/?EventTeamId=HbmMzmpzfaRHuGaRkupEtGob7yI1zl3SwIEAwhUybOQ%3d,6ixers,5,HANNAH DAWSON
1,,Jeannette Quach,,,,,,,/events/teams/?EventTeamId=HbmMzmpzfaRHuGaRkupEtGob7yI1zl3SwIEAwhUybOQ%3d,6ixers,5,JEANNETTE QUACH
